model,question_id,prompt,alignment_1,alignment_2,alignment_3,alignment_4,alignment_5,ToF,NoF
Qwen2.5-72B-Instruct,debate36,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate37,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate38,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate39,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate40,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate41,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate42,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate43,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate44,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate45,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate46,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate47,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate48,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate49,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate50,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate51,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate52,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate53,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate54,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate55,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate56,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate57,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate58,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate59,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate60,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate61,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate62,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate63,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate64,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate65,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate66,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate67,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate68,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate69,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate70,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate71,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate72,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate73,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate74,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate75,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate76,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate77,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate78,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate79,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate80,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate81,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate82,prompt0,0,1,1,1,1,0,1
Qwen2.5-72B-Instruct,debate83,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate84,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate85,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate86,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate87,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate88,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate89,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate90,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate91,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate92,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate93,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate94,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate95,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate96,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate97,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate98,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate99,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate100,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate1,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate2,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate3,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate4,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate5,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate6,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate7,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate8,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate9,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate10,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate11,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate12,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate13,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate14,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate15,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate16,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate17,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate18,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate19,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate20,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate21,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate22,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate23,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate24,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate25,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate26,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate27,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate28,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate29,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate30,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate31,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate32,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate33,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate34,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate35,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate36,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate37,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate38,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate39,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate40,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate41,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate42,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate43,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate44,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate45,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate46,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate47,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate48,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate49,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate50,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate51,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate52,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate53,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate54,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate55,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate56,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate57,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate58,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate59,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate60,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate61,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate62,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate63,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate64,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate65,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate66,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate67,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate68,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate69,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate70,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate71,prompt1,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate72,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate73,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate74,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate75,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate76,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate77,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate78,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate79,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate80,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate81,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate82,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate83,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate84,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate85,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate86,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate87,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate88,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate89,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate90,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate91,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate92,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate93,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate94,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate95,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate96,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate97,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate98,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate99,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate100,prompt1,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate1,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate2,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate3,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate4,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate5,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate6,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate7,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate8,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate9,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate10,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate11,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate12,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate13,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate14,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate15,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate16,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate17,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate18,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate19,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate20,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate21,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate22,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate23,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate24,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate25,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate26,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate27,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate28,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate29,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate30,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate31,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate32,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate33,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate34,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate35,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate36,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate37,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate38,prompt2,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate39,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate40,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate41,prompt2,1,1,1,0,0,3,1
Qwen2.5-72B-Instruct,debate42,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate43,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate44,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate45,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate46,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate47,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate48,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate49,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate50,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate51,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate52,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate53,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate54,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate55,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate56,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate57,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate58,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate59,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate60,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate61,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate62,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate63,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate64,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate65,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate66,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate67,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate68,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate69,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate70,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate71,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate72,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate73,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate74,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate75,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate76,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate77,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate78,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate79,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate80,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate81,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate82,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate83,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate84,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate85,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate86,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate87,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate88,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate89,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate90,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate91,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate92,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate93,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate94,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate95,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate96,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate97,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate98,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate99,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate100,prompt2,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate1,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate2,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate3,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate4,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate5,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate6,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate7,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate8,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate9,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate10,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate11,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate12,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate13,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate14,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate15,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate16,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate17,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate18,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate19,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate20,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate21,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate22,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate23,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate24,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate25,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate26,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate27,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate28,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate29,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate30,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate31,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate32,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate33,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate34,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate35,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate36,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate37,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate38,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate39,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate40,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate41,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate42,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate43,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate44,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate45,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate46,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate47,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate48,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate49,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate50,prompt3,0,0,0,0,0,0,0
Qwen2.5-72B-Instruct,debate51,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate52,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate53,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate54,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate55,prompt3,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate56,prompt3,1,1,1,1,1,5,0
