GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2,ppron.Person.1,ppron.Person.2,ipron.Person.1,ipron.Person.2,article.Person.1,article.Person.2,prep.Person.1,prep.Person.2,negate.Person.1,negate.Person.2,adverb.Person.1,adverb.Person.2,auxverb.Person.1,auxverb.Person.2,conj.Person.1,conj.Person.2
gpt-4o_prompt2_debate1_5,1,human,agent,0.40,20,247,20,3.24,0,5.26,5,4.86,20,9.72,5,0,5,2.43,10,4.45,0,8.5
gpt-4o_prompt3_debate1_1,1,human,agent,0.41,13,302,0,0.66,0,3.31,7.69,4.3,7.69,11.59,0,0.66,0,4.3,7.69,4.97,7.69,7.95
gpt-4o_prompt3_debate1_2,1,human,agent,0.44,20,230,20,0,0,3.91,5,4.35,20,13.04,5,0.43,5,4.35,10,5.65,0,8.7
gpt-4o_prompt3_debate1_3,1,human,agent,0.38,20,228,20,0,0,3.95,5,4.82,20,11.4,5,0,5,3.07,10,3.95,0,9.21
gpt-4o_prompt3_debate1_4,1,human,agent,0.40,20,230,20,0,0,3.91,5,5.65,20,10.43,5,0,5,3.91,10,5.22,0,6.96
gpt-4o_prompt3_debate1_5,1,human,agent,0.39,20,232,20,0,0,4.31,5,5.17,20,10.34,5,0,5,3.02,10,5.17,0,7.33
gpt-4o_prompt4_debate1_1,1,human,agent,0.57,13,162,0,2.47,0,5.56,7.69,6.17,7.69,11.73,0,0,0,2.47,7.69,6.79,7.69,8.02
gpt-4o_prompt4_debate1_2,1,human,agent,0.43,20,218,20,2.75,0,7.8,5,6.42,20,10.09,5,0.46,5,2.75,10,5.96,0,6.42
gpt-4o_prompt4_debate1_3,1,human,agent,0.44,20,222,20,2.7,0,5.41,5,4.05,20,12.16,5,0.45,5,2.7,10,6.31,0,8.11
gpt-4o_prompt4_debate1_4,1,human,agent,0.39,20,200,20,2.5,0,6,5,7,20,8.5,5,0.5,5,2,10,5.5,0,9
gpt-4o_prompt4_debate1_5,1,human,agent,0.39,20,239,20,3.77,0,6.28,5,5.02,20,12.13,5,0,5,1.26,10,5.02,0,7.95
gpt-4o_prompt0_debate10_1,1,human,agent,0.38,15,210,0,0.48,0,3.33,13.33,6.19,6.67,12.86,0,0.48,0,3.33,6.67,4.76,6.67,8.57
gpt-4o_prompt0_debate10_2,1,human,agent,0.38,20,231,20,0,0,2.16,5,5.63,20,10.82,5,0.43,5,2.6,10,3.9,0,8.66
gpt-4o_prompt0_debate10_3,1,human,agent,0.39,20,231,20,0,0,2.16,5,6.49,20,10.39,5,0.43,5,3.03,10,5.19,0,8.66
gpt-4o_prompt0_debate10_4,1,human,agent,0.38,20,220,20,0,0,1.82,5,6.36,20,9.55,5,0.45,5,2.73,10,5,0,9.09
gpt-4o_prompt0_debate10_5,1,human,agent,0.38,20,236,20,0,0,2.12,5,6.78,20,10.59,5,0.42,5,2.97,10,4.66,0,8.9
gpt-4o_prompt1_debate10_1,1,human,agent,0.53,15,269,0,0,0,4.83,13.33,5.2,6.67,9.67,0,0.74,0,4.46,6.67,6.32,6.67,8.18
gpt-4o_prompt1_debate10_2,1,human,agent,0.44,20,254,20,0.39,0,3.15,5,4.33,20,12.2,5,0.79,5,4.72,10,3.54,0,8.66
gpt-4o_prompt1_debate10_3,1,human,agent,0.41,20,254,20,0,0,3.54,5,3.94,20,12.99,5,0.39,5,3.54,10,4.72,0,8.27
gpt-4o_prompt1_debate10_4,1,human,agent,0.43,20,248,20,0.4,0,2.42,5,4.84,20,12.9,5,0.4,5,4.44,10,4.03,0,8.47
gpt-4o_prompt1_debate10_5,1,human,agent,0.40,20,260,20,0,0,3.85,5,3.85,20,11.92,5,0.38,5,3.85,10,4.23,0,8.46
gpt-4o_prompt2_debate10_1,1,human,agent,0.55,15,115,0,1.74,0,2.61,13.33,9.57,6.67,11.3,0,0,0,3.48,6.67,5.22,6.67,7.83
gpt-4o_prompt2_debate10_2,1,human,agent,0.43,20,235,20,0.85,0,4.26,5,5.11,20,12.34,5,0.43,5,2.55,10,6.81,0,7.66
gpt-4o_prompt2_debate10_3,1,human,agent,0.38,20,205,20,0.49,0,3.41,5,3.41,20,10.24,5,0.49,5,1.95,10,5.85,0,9.76
gpt-4o_prompt2_debate10_4,1,human,agent,0.41,20,222,20,0.9,0,3.15,5,4.05,20,10.81,5,0.45,5,2.25,10,6.31,0,9.46
gpt-4o_prompt2_debate10_5,1,human,agent,0.41,20,229,20,0.87,0,3.49,5,4.8,20,10.92,5,0.44,5,2.18,10,6.11,0,9.17
gpt-4o_prompt3_debate10_1,1,human,agent,0.40,15,223,0,0.9,0,2.69,13.33,6.28,6.67,11.66,0,0.45,0,3.59,6.67,5.38,6.67,8.07
gpt-4o_prompt3_debate10_2,1,human,agent,0.43,20,238,20,0,0,3.36,5,4.62,20,12.61,5,0.84,5,2.94,10,5.04,0,8.4
gpt-4o_prompt3_debate10_3,1,human,agent,0.45,20,235,20,0.85,0,3.4,5,5.11,20,11.49,5,0.85,5,3.4,10,5.53,0,7.66
gpt-4o_prompt3_debate10_4,1,human,agent,0.47,20,234,20,0,0,3.42,5,3.85,20,13.25,5,0.85,5,5.13,10,6.41,0,7.69
gpt-4o_prompt3_debate10_5,1,human,agent,0.44,20,245,20,0.41,0,3.27,5,4.08,20,11.84,5,0.82,5,3.67,10,5.71,0,8.16
gpt-4o_prompt4_debate10_1,1,human,agent,0.40,15,110,0,1.82,0,3.64,13.33,8.18,6.67,10.91,0,0.91,0,5.45,6.67,4.55,6.67,8.18
gpt-4o_prompt4_debate10_2,1,human,agent,0.44,20,247,20,0.81,0,3.24,5,6.07,20,12.55,5,0.4,5,4.05,10,5.26,0,10.12
gpt-4o_prompt4_debate10_3,1,human,agent,0.43,20,244,20,0.82,0,2.46,5,6.56,20,11.89,5,0.41,5,4.51,10,4.92,0,8.61
gpt-4o_prompt4_debate10_4,1,human,agent,0.41,20,254,20,0.79,0,2.36,5,6.3,20,13.39,5,0.39,5,2.76,10,4.72,0,7.87
gpt-4o_prompt4_debate10_5,1,human,agent,0.43,20,235,20,0.43,0,2.13,5,5.53,20,11.06,5,0.43,5,3.83,10,5.11,0,9.79
gpt-4o_prompt0_debate100_1,1,human,agent,0.36,21,269,0,0.37,0,2.23,14.29,6.69,19.05,8.55,0,0.74,0,1.86,4.76,5.95,4.76,7.81
gpt-4o_prompt0_debate100_2,1,human,agent,0.42,20,249,20,1.61,0,3.21,5,4.42,20,9.64,5,0,5,6.02,10,5.22,0,9.24
gpt-4o_prompt0_debate100_3,1,human,agent,0.43,20,248,20,0.81,0,4.84,5,4.44,20,8.87,5,0.4,5,4.44,10,6.05,0,7.26
gpt-4o_prompt0_debate100_4,1,human,agent,0.42,20,251,20,0.8,0,5.18,5,4.38,20,8.37,5,0.4,5,4.38,10,5.58,0,7.57
gpt-4o_prompt0_debate100_5,1,human,agent,0.42,20,243,20,0.82,0,4.94,5,4.53,20,8.23,5,0.41,5,4.12,10,5.35,0,7.82
gpt-4o_prompt1_debate100_1,1,human,agent,0.34,21,300,0,1.67,0,4.33,14.29,5,19.05,10.33,0,1,0,4.33,4.76,7,4.76,8.33
gpt-4o_prompt1_debate100_2,1,human,agent,0.41,20,224,20,0.89,0,2.23,5,4.91,20,12.5,5,0,5,4.02,10,3.57,0,6.7
gpt-4o_prompt1_debate100_3,1,human,agent,0.44,20,215,20,1.86,0,3.72,5,4.19,20,10.23,5,0.93,5,3.72,10,4.19,0,6.05
gpt-4o_prompt1_debate100_4,1,human,agent,0.45,20,242,20,0.83,0,3.31,5,5.37,20,12.81,5,0.83,5,4.13,10,4.13,0,6.61
gpt-4o_prompt1_debate100_5,1,human,agent,0.43,20,234,20,1.71,0,3.85,5,4.27,20,10.26,5,0.43,5,4.27,10,4.7,0,6.84
gpt-4o_prompt2_debate100_1,1,human,agent,0.37,21,123,0,1.63,0,3.25,14.29,8.13,19.05,9.76,0,0.81,0,3.25,4.76,6.5,4.76,8.13
gpt-4o_prompt2_debate100_2,1,human,agent,0.45,20,231,20,1.73,0,3.9,5,4.76,20,11.69,5,0.43,5,3.46,10,5.63,0,8.23
gpt-4o_prompt2_debate100_3,1,human,agent,0.44,20,213,20,1.88,0,4.23,5,4.69,20,10.33,5,0.47,5,4.23,10,4.69,0,7.98
gpt-4o_prompt2_debate100_4,1,human,agent,0.43,20,224,20,2.23,0,4.02,5,6.7,20,9.82,5,0.45,5,4.02,10,5.36,0,7.59
gpt-4o_prompt2_debate100_5,1,human,agent,0.45,20,213,20,2.35,0,4.23,5,4.23,20,10.33,5,0.47,5,4.23,10,5.63,0,7.98
gpt-4o_prompt3_debate100_1,1,human,agent,0.36,21,308,0,0.65,0,3.57,14.29,5.84,19.05,9.74,0,0.65,0,5.19,4.76,5.52,4.76,9.09
gpt-4o_prompt3_debate100_2,1,human,agent,0.41,20,234,20,1.28,0,1.71,5,4.7,20,12.82,5,0.43,5,3.85,10,2.56,0,8.97
gpt-4o_prompt3_debate100_3,1,human,agent,0.43,20,234,20,1.71,0,2.56,5,3.85,20,12.39,5,0.85,5,3.42,10,3.42,0,8.12
gpt-4o_prompt3_debate100_4,1,human,agent,0.44,20,234,20,1.28,0,2.56,5,4.27,20,11.97,5,0.85,5,3.85,10,4.27,0,8.12
gpt-4o_prompt3_debate100_5,1,human,agent,0.45,20,233,20,1.29,0,2.58,5,4.29,20,12.02,5,0.86,5,4.29,10,4.29,0,7.73
gpt-4o_prompt4_debate100_1,1,human,agent,0.36,21,213,0,1.41,0,4.23,14.29,7.51,19.05,8.92,0,0.47,0,4.69,4.76,6.1,4.76,8.92
gpt-4o_prompt4_debate100_2,1,human,agent,0.39,20,224,20,1.79,0,4.46,5,6.7,20,10.71,5,0,5,2.68,10,5.36,0,7.59
gpt-4o_prompt4_debate100_3,1,human,agent,0.39,20,245,20,1.63,0,4.08,5,8.57,20,11.43,5,0.41,5,3.27,10,4.08,0,7.35
gpt-4o_prompt4_debate100_4,1,human,agent,0.37,20,241,20,2.07,0,3.73,5,8.3,20,13.28,5,0,5,2.07,10,4.56,0,6.64
gpt-4o_prompt4_debate100_5,1,human,agent,0.38,20,248,20,1.61,0,4.03,5,8.47,20,11.69,5,0.4,5,2.82,10,4.03,0,7.26
gpt-4o_prompt0_debate11_1,1,human,agent,0.41,13,308,0,2.27,0,3.57,7.69,4.22,15.38,14.61,0,0.32,0,2.27,15.38,7.47,7.69,8.12
gpt-4o_prompt0_debate11_2,1,human,agent,0.48,20,225,20,3.11,0,3.11,5,4.44,20,13.78,5,0.44,5,4.44,10,5.78,0,8.89
gpt-4o_prompt0_debate11_3,1,human,agent,0.44,20,237,20,2.53,0,4.22,5,3.38,20,13.92,5,0,5,3.38,10,7.17,0,8.02
gpt-4o_prompt0_debate11_4,1,human,agent,0.49,20,232,20,3.02,0,3.88,5,4.74,20,14.66,5,0.43,5,3.88,10,6.9,0,7.76
gpt-4o_prompt0_debate11_5,1,human,agent,0.44,20,235,20,2.55,0,4.26,5,3.4,20,14.04,5,0,5,3.4,10,7.23,0,8.09
gpt-4o_prompt1_debate11_1,1,human,agent,0.41,13,313,0,1.6,0,4.79,7.69,5.11,15.38,13.42,0,0.64,0,2.56,15.38,6.39,7.69,7.35
gpt-4o_prompt1_debate11_2,1,human,agent,0.48,20,230,20,1.74,0,3.91,5,5.22,20,14.78,5,0.43,5,4.35,10,5.65,0,9.13
gpt-4o_prompt1_debate11_3,1,human,agent,0.49,20,246,20,2.44,0,4.88,5,4.88,20,14.63,5,0.81,5,3.25,10,6.5,0,7.72
gpt-4o_prompt1_debate11_4,1,human,agent,0.47,20,250,20,2.8,0,4,5,6,20,15.2,5,0.8,5,3.2,10,5.2,0,8.4
gpt-4o_prompt1_debate11_5,1,human,agent,0.49,20,246,20,2.44,0,4.88,5,4.88,20,14.63,5,0.81,5,3.25,10,6.5,0,7.72
gpt-4o_prompt2_debate11_1,1,human,agent,0.54,13,96,0,4.17,0,4.17,7.69,6.25,15.38,14.58,0,0,0,4.17,15.38,6.25,7.69,9.38
gpt-4o_prompt2_debate11_2,1,human,agent,0.48,20,248,20,4.84,0,5.65,5,6.45,20,12.9,5,0,5,4.84,10,6.85,0,7.26
gpt-4o_prompt2_debate11_3,1,human,agent,0.47,20,254,20,4.72,0,4.72,5,5.51,20,14.96,5,0.39,5,2.76,10,5.91,0,6.69
gpt-4o_prompt2_debate11_4,1,human,agent,0.50,20,255,20,5.88,0,4.31,5,5.49,20,11.76,5,0.78,5,3.92,10,5.1,0,6.67
gpt-4o_prompt2_debate11_5,1,human,agent,0.47,20,256,20,4.69,0,5.47,5,3.91,20,15.63,5,0.39,5,3.13,10,5.47,0,8.59
gpt-4o_prompt3_debate11_1,1,human,agent,0.41,13,406,0,2.46,0,4.43,7.69,5.42,15.38,15.02,0,0.25,0,2.71,15.38,4.93,7.69,8.37
gpt-4o_prompt3_debate11_2,1,human,agent,0.41,20,248,20,4.44,0,3.23,5,3.63,20,14.11,5,0,5,2.42,10,4.03,0,8.47
gpt-4o_prompt3_debate11_3,1,human,agent,0.39,20,250,20,3.6,0,3.2,5,2.8,20,13.2,5,0,5,3.2,10,3.2,0,8.8
gpt-4o_prompt3_debate11_4,1,human,agent,0.38,20,248,20,4.44,0,2.42,5,2.82,20,12.9,5,0,5,2.82,10,3.23,0,9.68
gpt-4o_prompt3_debate11_5,1,human,agent,0.40,20,241,20,4.15,0,2.07,5,2.9,20,13.69,5,0,5,2.9,10,3.73,0,7.88
gpt-4o_prompt4_debate11_1,1,human,agent,0.54,13,86,0,4.65,0,4.65,7.69,5.81,15.38,15.12,0,0,0,3.49,15.38,4.65,7.69,8.14
gpt-4o_prompt4_debate11_2,1,human,agent,0.50,20,234,20,5.98,0,5.56,5,7.69,20,12.39,5,0.85,5,5.98,10,5.98,0,5.98
gpt-4o_prompt4_debate11_3,1,human,agent,0.49,20,249,20,4.82,0,3.21,5,8.43,20,14.06,5,0.4,5,4.42,10,8.03,0,8.03
gpt-4o_prompt4_debate11_4,1,human,agent,0.46,20,245,20,5.31,0,2.86,5,8.57,20,15.92,5,0,5,4.9,10,4.9,0,6.53
gpt-4o_prompt4_debate11_5,1,human,agent,0.47,20,243,20,4.94,0,2.06,5,9.05,20,15.64,5,0,5,4.12,10,7.41,0,7
gpt-4o_prompt0_debate12_1,1,human,agent,0.66,14,282,0,0,7.14,4.61,7.14,5.32,14.29,10.64,0,1.06,0,1.42,7.14,8.87,7.14,8.51
gpt-4o_prompt0_debate12_2,1,human,agent,0.43,20,248,20,0.4,0,6.05,5,4.03,20,12.9,5,0.4,5,2.82,10,7.26,0,8.47
gpt-4o_prompt0_debate12_3,1,human,agent,0.42,20,228,20,0.44,0,5.7,5,4.39,20,10.96,5,0.44,5,2.63,10,7.02,0,8.77
gpt-4o_prompt0_debate12_4,1,human,agent,0.45,20,246,20,0.41,0,6.1,5,4.47,20,11.79,5,0.81,5,2.85,10,7.32,0,8.94
gpt-4o_prompt0_debate12_5,1,human,agent,0.42,20,235,20,0.43,0,5.53,5,4.26,20,11.06,5,0.43,5,2.55,10,7.23,0,8.94
gpt-4o_prompt1_debate12_1,1,human,agent,0.67,14,310,0,0,7.14,5.48,7.14,3.55,14.29,11.29,0,0.65,0,0.97,7.14,7.1,7.14,6.45
gpt-4o_prompt1_debate12_2,1,human,agent,0.43,20,230,20,0.43,0,4.78,5,4.35,20,11.74,5,0.43,5,2.17,10,9.13,0,6.96
gpt-4o_prompt1_debate12_3,1,human,agent,0.45,20,236,20,0.42,0,4.66,5,4.24,20,10.59,5,0.85,5,2.97,10,8.47,0,7.63
gpt-4o_prompt1_debate12_4,1,human,agent,0.44,20,237,20,0.42,0,4.64,5,4.22,20,10.97,5,0.84,5,2.11,10,8.86,0,7.59
gpt-4o_prompt1_debate12_5,1,human,agent,0.45,20,237,20,0.42,0,4.22,5,4.22,20,10.97,5,0.84,5,2.95,10,8.44,0,7.59
gpt-4o_prompt2_debate12_1,1,human,agent,0.65,14,78,0,1.28,7.14,5.13,7.14,2.56,14.29,14.1,0,0,0,3.85,7.14,7.69,7.14,8.97
gpt-4o_prompt2_debate12_2,1,human,agent,0.44,20,231,20,2.6,0,8.66,5,6.06,20,12.12,5,0.43,5,2.16,10,7.79,0,7.36
gpt-4o_prompt2_debate12_3,1,human,agent,0.48,20,243,20,2.88,0,6.58,5,5.35,20,11.11,5,0.41,5,2.88,10,10.29,0,6.17
gpt-4o_prompt2_debate12_4,1,human,agent,0.47,20,241,20,2.9,0,6.64,5,5.39,20,12.45,5,0.41,5,2.9,10,8.3,0,6.22
gpt-4o_prompt2_debate12_5,1,human,agent,0.40,20,244,20,2.05,0,7.38,5,4.51,20,9.84,5,0,5,1.23,10,10.25,0,5.74
gpt-4o_prompt3_debate12_1,1,human,agent,0.65,14,249,0,0,7.14,4.42,7.14,8.03,14.29,12.05,0,0.4,0,3.61,7.14,10.44,7.14,4.82
gpt-4o_prompt3_debate12_2,1,human,agent,0.43,20,236,20,0.42,0,6.36,5,5.51,20,13.56,5,0.85,5,1.27,10,8.47,0,6.36
gpt-4o_prompt3_debate12_3,1,human,agent,0.43,20,231,20,0,0,6.06,5,5.19,20,12.12,5,0.43,5,2.16,10,8.23,0,6.49
gpt-4o_prompt3_debate12_4,1,human,agent,0.49,20,244,20,0.41,0,6.15,5,4.92,20,12.7,5,1.23,5,3.28,10,9.02,0,4.92
gpt-4o_prompt3_debate12_5,1,human,agent,0.45,20,250,20,0.4,0,6,5,5.2,20,12.8,5,0.8,5,2.4,10,8.4,0,6.8
gpt-4o_prompt4_debate12_1,1,human,agent,0.59,14,139,0,0.72,7.14,7.19,7.14,6.47,14.29,12.95,0,0.72,0,2.88,7.14,8.63,7.14,7.91
gpt-4o_prompt4_debate12_2,1,human,agent,0.46,20,224,20,1.34,0,7.14,5,7.14,20,12.5,5,1.34,5,2.23,10,8.48,0,6.7
gpt-4o_prompt4_debate12_3,1,human,agent,0.46,20,222,20,1.8,0,6.31,5,6.76,20,13.06,5,0.9,5,2.7,10,8.11,0,8.56
gpt-4o_prompt4_debate12_4,1,human,agent,0.44,20,225,20,2.67,0,8,5,5.33,20,10.22,5,0,5,2.22,10,9.78,0,7.11
gpt-4o_prompt4_debate12_5,1,human,agent,0.44,20,216,20,2.78,0,6.02,5,6.02,20,11.57,5,0,5,2.78,10,8.33,0,9.26
gpt-4o_prompt0_debate13_1,1,human,agent,0.27,14,315,0,1.27,0,2.54,14.29,4.44,14.29,11.43,0,0.95,0,1.9,14.29,9.21,0,5.4
gpt-4o_prompt0_debate13_2,1,human,agent,0.50,20,225,20,1.78,0,1.33,5,4.89,20,14.22,5,0.89,5,4.44,10,6.22,0,5.78
gpt-4o_prompt0_debate13_3,1,human,agent,0.47,20,227,20,1.32,0,2.64,5,3.96,20,11.89,5,0.88,5,3.96,10,6.61,0,6.17
gpt-4o_prompt0_debate13_4,1,human,agent,0.49,20,232,20,2.16,0,2.59,5,4.31,20,12.93,5,0.86,5,3.88,10,6.9,0,6.47
gpt-4o_prompt0_debate13_5,1,human,agent,0.46,20,226,20,1.33,0,2.65,5,3.98,20,11.95,5,0.88,5,3.54,10,6.64,0,5.75
gpt-4o_prompt1_debate13_1,1,human,agent,0.28,14,304,0,1.32,0,2.63,14.29,4.93,14.29,11.84,0,1.32,0,5.26,14.29,9.21,0,7.57
gpt-4o_prompt1_debate13_2,1,human,agent,0.49,20,204,20,2.45,0,3.43,5,3.92,20,11.76,5,0.98,5,4.9,10,6.37,0,7.35
gpt-4o_prompt1_debate13_3,1,human,agent,0.44,20,234,20,2.14,0,2.99,5,5.98,20,14.53,5,0,5,4.7,10,4.27,0,7.69
gpt-4o_prompt1_debate13_4,1,human,agent,0.49,20,221,20,3.62,0,1.36,5,4.52,20,12.67,5,1.36,5,3.17,10,5.43,0,8.6
gpt-4o_prompt1_debate13_5,1,human,agent,0.43,20,228,20,1.75,0,2.63,5,6.14,20,14.47,5,0,5,3.95,10,4.82,0,8.33
gpt-4o_prompt2_debate13_1,1,human,agent,0.29,14,245,0,2.86,0,3.27,14.29,5.71,14.29,14.69,0,0.82,0,5.31,14.29,8.57,0,7.76
gpt-4o_prompt2_debate13_2,1,human,agent,0.46,20,238,20,3.36,0,3.78,5,6.3,20,13.45,5,0.84,5,2.1,10,6.72,0,7.14
gpt-4o_prompt2_debate13_3,1,human,agent,0.49,20,232,20,4.31,0,2.59,5,7.76,20,11.64,5,1.29,5,3.88,10,6.03,0,7.33
gpt-4o_prompt2_debate13_4,1,human,agent,0.54,20,232,20,5.17,0,2.16,5,5.17,20,12.07,5,1.72,5,3.88,10,6.03,0,7.76
gpt-4o_prompt2_debate13_5,1,human,agent,0.46,20,232,20,5.17,0,3.02,5,6.9,20,11.64,5,1.29,5,2.16,10,4.74,0,6.47
gpt-4o_prompt3_debate13_1,1,human,agent,0.27,14,353,0,1.42,0,3.4,14.29,4.82,14.29,11.9,0,1.13,0,2.83,14.29,8.5,0,7.37
gpt-4o_prompt3_debate13_2,1,human,agent,0.50,20,238,20,2.94,0,1.26,5,5.88,20,13.03,5,1.26,5,3.36,10,6.72,0,7.98
gpt-4o_prompt3_debate13_3,1,human,agent,0.48,20,241,20,2.49,0,1.24,5,7.05,20,12.03,5,1.24,5,3.73,10,6.22,0,7.47
gpt-4o_prompt3_debate13_4,1,human,agent,0.46,20,241,20,2.07,0,1.66,5,7.05,20,13.28,5,1.24,5,2.49,10,6.22,0,7.05
gpt-4o_prompt3_debate13_5,1,human,agent,0.48,20,252,20,3.17,0,1.19,5,7.14,20,11.51,5,1.59,5,3.17,10,5.95,0,7.54
gpt-4o_prompt4_debate13_1,1,human,agent,0.27,14,250,0,1.6,0,4,14.29,6,14.29,11.6,0,0.8,0,5.2,14.29,6.8,0,8.8
gpt-4o_prompt4_debate13_2,1,human,agent,0.51,20,222,20,5.41,0,4.05,5,3.6,20,11.71,5,0.9,5,4.5,10,7.21,0,9.01
gpt-4o_prompt4_debate13_3,1,human,agent,0.52,20,241,20,4.98,0,4.98,5,6.22,20,12.86,5,1.66,5,4.15,10,5.39,0,7.88
gpt-4o_prompt4_debate13_4,1,human,agent,0.55,20,256,20,5.86,0,3.91,5,5.08,20,11.72,5,1.56,5,4.3,10,6.64,0,7.42
gpt-4o_prompt4_debate13_5,1,human,agent,0.55,20,265,20,5.66,0,4.15,5,4.53,20,12.45,5,1.13,5,4.91,10,7.55,0,8.68
gpt-4o_prompt0_debate14_1,1,human,agent,0.41,13,259,0,0.39,0,2.7,15.38,4.63,15.38,13.13,0,0,0,2.32,7.69,6.18,0,7.34
gpt-4o_prompt0_debate14_2,1,human,agent,0.40,20,224,20,0.45,0,3.13,5,5.36,20,11.61,5,0,5,3.57,10,4.46,0,6.7
gpt-4o_prompt0_debate14_3,1,human,agent,0.40,20,236,20,0.42,0,3.81,5,5.08,20,13.98,5,0,5,2.54,10,5.08,0,8.47
gpt-4o_prompt0_debate14_4,1,human,agent,0.39,20,237,20,0.42,0,2.53,5,7.17,20,14.35,5,0,5,2.95,10,5.06,0,6.75
gpt-4o_prompt0_debate14_5,1,human,agent,0.39,20,237,20,0.42,0,3.8,5,5.91,20,13.92,5,0,5,2.53,10,4.64,0,8.02
gpt-4o_prompt1_debate14_1,1,human,agent,0.41,13,294,0,0,0,5.1,15.38,4.42,15.38,12.93,0,0.68,0,2.72,7.69,6.8,0,7.48
gpt-4o_prompt1_debate14_2,1,human,agent,0.43,20,235,20,0.85,0,2.98,5,4.68,20,13.19,5,0.43,5,3.4,10,4.68,0,9.36
gpt-4o_prompt1_debate14_3,1,human,agent,0.43,20,217,20,0.46,0,3.69,5,5.07,20,12.9,5,0.46,5,3.23,10,4.61,0,9.22
gpt-4o_prompt1_debate14_4,1,human,agent,0.39,20,251,20,0.8,0,3.19,5,4.38,20,13.55,5,0,5,1.99,10,5.58,0,8.37
gpt-4o_prompt1_debate14_5,1,human,agent,0.41,20,262,20,0.76,0,3.82,5,5.73,20,13.74,5,0.38,5,2.29,10,4.96,0,7.63
gpt-4o_prompt2_debate14_1,1,human,agent,0.39,13,96,0,1.04,0,4.17,15.38,5.21,15.38,12.5,0,0,0,4.17,7.69,4.17,0,11.46
gpt-4o_prompt2_debate14_2,1,human,agent,0.48,20,246,20,1.63,0,4.88,5,6.1,20,11.79,5,1.22,5,4.07,10,6.1,0,7.32
gpt-4o_prompt2_debate14_3,1,human,agent,0.48,20,242,20,1.65,0,5.79,5,4.96,20,12.4,5,1.24,5,3.72,10,4.96,0,6.61
gpt-4o_prompt2_debate14_4,1,human,agent,0.42,20,242,20,1.24,0,4.96,5,6.2,20,12.4,5,0.83,5,1.65,10,6.2,0,6.2
gpt-4o_prompt2_debate14_5,1,human,agent,0.43,20,232,20,2.16,0,3.88,5,5.6,20,10.78,5,1.29,5,2.16,10,4.31,0,8.19
gpt-4o_prompt3_debate14_1,1,human,agent,0.29,13,278,0,0.36,0,3.24,15.38,4.32,15.38,12.59,0,0.36,0,3.96,7.69,8.27,0,6.83
gpt-4o_prompt3_debate14_2,1,human,agent,0.39,20,232,20,0,0,4.31,5,5.17,20,14.66,5,0.43,5,2.16,10,3.88,0,8.19
