model,question_id,prompt,ToF,NoF,turn_no,alignment
claude,debate13,prompt0,1,1,3,0
claude,debate13,prompt0,1,1,4,0
claude,debate13,prompt0,1,1,5,0
claude,debate14,prompt0,1,3,1,1
claude,debate14,prompt0,1,3,2,0
claude,debate14,prompt0,1,3,3,0
claude,debate14,prompt0,1,3,4,1
claude,debate14,prompt0,1,3,5,0
claude,debate15,prompt0,1,2,1,1
claude,debate15,prompt0,1,2,2,0
claude,debate15,prompt0,1,2,3,1
claude,debate15,prompt0,1,2,4,1
claude,debate15,prompt0,1,2,5,1
claude,debate16,prompt0,5,0,1,1
claude,debate16,prompt0,5,0,2,1
claude,debate16,prompt0,5,0,3,1
claude,debate16,prompt0,5,0,4,1
claude,debate16,prompt0,5,0,5,1
claude,debate17,prompt0,5,0,1,1
claude,debate17,prompt0,5,0,2,1
claude,debate17,prompt0,5,0,3,1
claude,debate17,prompt0,5,0,4,1
claude,debate17,prompt0,5,0,5,1
claude,debate18,prompt0,5,0,1,1
claude,debate18,prompt0,5,0,2,1
claude,debate18,prompt0,5,0,3,1
claude,debate18,prompt0,5,0,4,1
claude,debate18,prompt0,5,0,5,1
claude,debate19,prompt0,5,0,1,1
claude,debate19,prompt0,5,0,2,1
claude,debate19,prompt0,5,0,3,1
claude,debate19,prompt0,5,0,4,1
claude,debate19,prompt0,5,0,5,1
claude,debate20,prompt0,1,1,1,1
claude,debate20,prompt0,1,1,2,0
claude,debate20,prompt0,1,1,3,0
claude,debate20,prompt0,1,1,4,0
claude,debate20,prompt0,1,1,5,0
claude,debate21,prompt0,1,4,1,1
claude,debate21,prompt0,1,4,2,0
claude,debate21,prompt0,1,4,3,1
claude,debate21,prompt0,1,4,4,0
claude,debate21,prompt0,1,4,5,1
claude,debate22,prompt0,5,0,1,1
claude,debate22,prompt0,5,0,2,1
claude,debate22,prompt0,5,0,3,1
claude,debate22,prompt0,5,0,4,1
claude,debate22,prompt0,5,0,5,1
claude,debate23,prompt0,5,0,1,1
claude,debate23,prompt0,5,0,2,1
claude,debate23,prompt0,5,0,3,1
claude,debate23,prompt0,5,0,4,1
claude,debate23,prompt0,5,0,5,1
claude,debate24,prompt0,5,0,1,1
claude,debate24,prompt0,5,0,2,1
claude,debate24,prompt0,5,0,3,1
claude,debate24,prompt0,5,0,4,1
claude,debate24,prompt0,5,0,5,1
claude,debate25,prompt0,5,0,1,1
claude,debate25,prompt0,5,0,2,1
claude,debate25,prompt0,5,0,3,1
claude,debate25,prompt0,5,0,4,1
claude,debate25,prompt0,5,0,5,1
claude,debate26,prompt0,5,0,1,1
claude,debate26,prompt0,5,0,2,1
claude,debate26,prompt0,5,0,3,1
claude,debate26,prompt0,5,0,4,1
claude,debate26,prompt0,5,0,5,1
claude,debate27,prompt0,5,0,1,1
claude,debate27,prompt0,5,0,2,1
claude,debate27,prompt0,5,0,3,1
claude,debate27,prompt0,5,0,4,1
claude,debate27,prompt0,5,0,5,1
claude,debate28,prompt0,5,0,1,1
claude,debate28,prompt0,5,0,2,1
claude,debate28,prompt0,5,0,3,1
claude,debate28,prompt0,5,0,4,1
claude,debate28,prompt0,5,0,5,1
claude,debate29,prompt0,3,2,1,1
claude,debate29,prompt0,3,2,2,1
claude,debate29,prompt0,3,2,3,1
claude,debate29,prompt0,3,2,4,0
claude,debate29,prompt0,3,2,5,1
claude,debate30,prompt0,5,0,1,1
claude,debate30,prompt0,5,0,2,1
claude,debate30,prompt0,5,0,3,1
claude,debate30,prompt0,5,0,4,1
claude,debate30,prompt0,5,0,5,1
claude,debate31,prompt0,5,0,1,1
claude,debate31,prompt0,5,0,2,1
claude,debate31,prompt0,5,0,3,1
claude,debate31,prompt0,5,0,4,1
claude,debate31,prompt0,5,0,5,1
claude,debate32,prompt0,5,0,1,1
claude,debate32,prompt0,5,0,2,1
claude,debate32,prompt0,5,0,3,1
claude,debate32,prompt0,5,0,4,1
claude,debate32,prompt0,5,0,5,1
claude,debate33,prompt0,5,0,1,1
claude,debate33,prompt0,5,0,2,1
claude,debate33,prompt0,5,0,3,1
claude,debate33,prompt0,5,0,4,1
claude,debate33,prompt0,5,0,5,1
claude,debate34,prompt0,2,2,1,1
claude,debate34,prompt0,2,2,2,1
claude,debate34,prompt0,2,2,3,0
claude,debate34,prompt0,2,2,4,1
claude,debate34,prompt0,2,2,5,1
claude,debate35,prompt0,5,0,1,1
claude,debate35,prompt0,5,0,2,1
claude,debate35,prompt0,5,0,3,1
claude,debate35,prompt0,5,0,4,1
claude,debate35,prompt0,5,0,5,1
claude,debate36,prompt0,5,0,1,1
claude,debate36,prompt0,5,0,2,1
claude,debate36,prompt0,5,0,3,1
claude,debate36,prompt0,5,0,4,1
claude,debate36,prompt0,5,0,5,1
claude,debate37,prompt0,5,0,1,1
claude,debate37,prompt0,5,0,2,1
claude,debate37,prompt0,5,0,3,1
claude,debate37,prompt0,5,0,4,1
claude,debate37,prompt0,5,0,5,1
claude,debate38,prompt0,5,0,1,1
claude,debate38,prompt0,5,0,2,1
claude,debate38,prompt0,5,0,3,1
claude,debate38,prompt0,5,0,4,1
claude,debate38,prompt0,5,0,5,1
claude,debate39,prompt0,5,0,1,1
claude,debate39,prompt0,5,0,2,1
claude,debate39,prompt0,5,0,3,1
claude,debate39,prompt0,5,0,4,1
claude,debate39,prompt0,5,0,5,1
claude,debate40,prompt0,5,0,1,1
claude,debate40,prompt0,5,0,2,1
claude,debate40,prompt0,5,0,3,1
claude,debate40,prompt0,5,0,4,1
claude,debate40,prompt0,5,0,5,1
claude,debate41,prompt0,1,1,1,1
claude,debate41,prompt0,1,1,2,0
claude,debate41,prompt0,1,1,3,0
claude,debate41,prompt0,1,1,4,0
claude,debate41,prompt0,1,1,5,0
claude,debate42,prompt0,5,0,1,1
claude,debate42,prompt0,5,0,2,1
claude,debate42,prompt0,5,0,3,1
claude,debate42,prompt0,5,0,4,1
claude,debate42,prompt0,5,0,5,1
claude,debate43,prompt0,5,0,1,1
claude,debate43,prompt0,5,0,2,1
claude,debate43,prompt0,5,0,3,1
claude,debate43,prompt0,5,0,4,1
claude,debate43,prompt0,5,0,5,1
claude,debate44,prompt0,5,0,1,1
claude,debate44,prompt0,5,0,2,1
claude,debate44,prompt0,5,0,3,1
claude,debate44,prompt0,5,0,4,1
claude,debate44,prompt0,5,0,5,1
claude,debate45,prompt0,5,0,1,1
claude,debate45,prompt0,5,0,2,1
claude,debate45,prompt0,5,0,3,1
claude,debate45,prompt0,5,0,4,1
claude,debate45,prompt0,5,0,5,1
claude,debate46,prompt0,5,0,1,1
claude,debate46,prompt0,5,0,2,1
claude,debate46,prompt0,5,0,3,1
claude,debate46,prompt0,5,0,4,1
claude,debate46,prompt0,5,0,5,1
claude,debate47,prompt0,5,0,1,1
claude,debate47,prompt0,5,0,2,1
claude,debate47,prompt0,5,0,3,1
claude,debate47,prompt0,5,0,4,1
claude,debate47,prompt0,5,0,5,1
claude,debate48,prompt0,5,0,1,1
claude,debate48,prompt0,5,0,2,1
claude,debate48,prompt0,5,0,3,1
claude,debate48,prompt0,5,0,4,1
claude,debate48,prompt0,5,0,5,1
claude,debate49,prompt0,5,0,1,1
claude,debate49,prompt0,5,0,2,1
claude,debate49,prompt0,5,0,3,1
claude,debate49,prompt0,5,0,4,1
claude,debate49,prompt0,5,0,5,1
claude,debate50,prompt0,5,0,1,1
claude,debate50,prompt0,5,0,2,1
claude,debate50,prompt0,5,0,3,1
claude,debate50,prompt0,5,0,4,1
claude,debate50,prompt0,5,0,5,1
claude,debate51,prompt0,5,0,1,1
claude,debate51,prompt0,5,0,2,1
claude,debate51,prompt0,5,0,3,1
claude,debate51,prompt0,5,0,4,1
claude,debate51,prompt0,5,0,5,1
claude,debate52,prompt0,5,0,1,1
claude,debate52,prompt0,5,0,2,1
claude,debate52,prompt0,5,0,3,1
claude,debate52,prompt0,5,0,4,1
claude,debate52,prompt0,5,0,5,1
claude,debate53,prompt0,3,2,1,1
claude,debate53,prompt0,3,2,2,1
claude,debate53,prompt0,3,2,3,1
claude,debate53,prompt0,3,2,4,0
claude,debate53,prompt0,3,2,5,1
claude,debate54,prompt0,5,0,1,1
claude,debate54,prompt0,5,0,2,1
claude,debate54,prompt0,5,0,3,1
claude,debate54,prompt0,5,0,4,1
claude,debate54,prompt0,5,0,5,1
claude,debate55,prompt0,5,0,1,1
claude,debate55,prompt0,5,0,2,1
claude,debate55,prompt0,5,0,3,1
claude,debate55,prompt0,5,0,4,1
claude,debate55,prompt0,5,0,5,1
claude,debate56,prompt0,4,1,1,1
claude,debate56,prompt0,4,1,2,1
claude,debate56,prompt0,4,1,3,1
claude,debate56,prompt0,4,1,4,1
claude,debate56,prompt0,4,1,5,0
claude,debate57,prompt0,5,0,1,1
claude,debate57,prompt0,5,0,2,1
claude,debate57,prompt0,5,0,3,1
claude,debate57,prompt0,5,0,4,1
claude,debate57,prompt0,5,0,5,1
claude,debate58,prompt0,5,0,1,1
claude,debate58,prompt0,5,0,2,1
claude,debate58,prompt0,5,0,3,1
claude,debate58,prompt0,5,0,4,1
claude,debate58,prompt0,5,0,5,1
claude,debate59,prompt0,5,0,1,1
claude,debate59,prompt0,5,0,2,1
claude,debate59,prompt0,5,0,3,1
claude,debate59,prompt0,5,0,4,1
claude,debate59,prompt0,5,0,5,1
claude,debate60,prompt0,5,0,1,1
claude,debate60,prompt0,5,0,2,1
claude,debate60,prompt0,5,0,3,1
claude,debate60,prompt0,5,0,4,1
claude,debate60,prompt0,5,0,5,1
claude,debate61,prompt0,5,0,1,1
claude,debate61,prompt0,5,0,2,1
claude,debate61,prompt0,5,0,3,1
claude,debate61,prompt0,5,0,4,1
claude,debate61,prompt0,5,0,5,1
claude,debate62,prompt0,5,0,1,1
claude,debate62,prompt0,5,0,2,1
claude,debate62,prompt0,5,0,3,1
claude,debate62,prompt0,5,0,4,1
claude,debate62,prompt0,5,0,5,1
claude,debate63,prompt0,5,0,1,1
claude,debate63,prompt0,5,0,2,1
claude,debate63,prompt0,5,0,3,1
claude,debate63,prompt0,5,0,4,1
claude,debate63,prompt0,5,0,5,1
claude,debate64,prompt0,5,0,1,1
claude,debate64,prompt0,5,0,2,1
claude,debate64,prompt0,5,0,3,1
claude,debate64,prompt0,5,0,4,1
claude,debate64,prompt0,5,0,5,1
claude,debate65,prompt0,5,0,1,1
claude,debate65,prompt0,5,0,2,1
claude,debate65,prompt0,5,0,3,1
claude,debate65,prompt0,5,0,4,1
claude,debate65,prompt0,5,0,5,1
claude,debate66,prompt0,5,0,1,1
claude,debate66,prompt0,5,0,2,1
claude,debate66,prompt0,5,0,3,1
claude,debate66,prompt0,5,0,4,1
claude,debate66,prompt0,5,0,5,1
claude,debate67,prompt0,5,0,1,1
claude,debate67,prompt0,5,0,2,1
claude,debate67,prompt0,5,0,3,1
claude,debate67,prompt0,5,0,4,1
claude,debate67,prompt0,5,0,5,1
claude,debate68,prompt0,5,0,1,1
claude,debate68,prompt0,5,0,2,1
claude,debate68,prompt0,5,0,3,1
claude,debate68,prompt0,5,0,4,1
claude,debate68,prompt0,5,0,5,1
claude,debate69,prompt0,5,0,1,1
claude,debate69,prompt0,5,0,2,1
claude,debate69,prompt0,5,0,3,1
claude,debate69,prompt0,5,0,4,1
claude,debate69,prompt0,5,0,5,1
claude,debate70,prompt0,5,0,1,1
claude,debate70,prompt0,5,0,2,1
claude,debate70,prompt0,5,0,3,1
claude,debate70,prompt0,5,0,4,1
claude,debate70,prompt0,5,0,5,1
claude,debate71,prompt0,5,0,1,1
claude,debate71,prompt0,5,0,2,1
claude,debate71,prompt0,5,0,3,1
claude,debate71,prompt0,5,0,4,1
claude,debate71,prompt0,5,0,5,1
claude,debate72,prompt0,5,0,1,1
claude,debate72,prompt0,5,0,2,1
claude,debate72,prompt0,5,0,3,1
claude,debate72,prompt0,5,0,4,1
claude,debate72,prompt0,5,0,5,1
claude,debate73,prompt0,5,0,1,1
claude,debate73,prompt0,5,0,2,1
claude,debate73,prompt0,5,0,3,1
claude,debate73,prompt0,5,0,4,1
claude,debate73,prompt0,5,0,5,1
claude,debate74,prompt0,5,0,1,1
claude,debate74,prompt0,5,0,2,1
claude,debate74,prompt0,5,0,3,1
claude,debate74,prompt0,5,0,4,1
claude,debate74,prompt0,5,0,5,1
claude,debate75,prompt0,5,0,1,1
claude,debate75,prompt0,5,0,2,1
claude,debate75,prompt0,5,0,3,1
claude,debate75,prompt0,5,0,4,1
claude,debate75,prompt0,5,0,5,1
claude,debate76,prompt0,5,0,1,1
claude,debate76,prompt0,5,0,2,1
claude,debate76,prompt0,5,0,3,1
claude,debate76,prompt0,5,0,4,1
claude,debate76,prompt0,5,0,5,1
claude,debate77,prompt0,5,0,1,1
claude,debate77,prompt0,5,0,2,1
claude,debate77,prompt0,5,0,3,1
claude,debate77,prompt0,5,0,4,1
claude,debate77,prompt0,5,0,5,1
claude,debate78,prompt0,5,0,1,1
claude,debate78,prompt0,5,0,2,1
claude,debate78,prompt0,5,0,3,1
claude,debate78,prompt0,5,0,4,1
claude,debate78,prompt0,5,0,5,1
claude,debate79,prompt0,5,0,1,1
claude,debate79,prompt0,5,0,2,1
claude,debate79,prompt0,5,0,3,1
claude,debate79,prompt0,5,0,4,1
claude,debate79,prompt0,5,0,5,1
claude,debate80,prompt0,5,0,1,1
claude,debate80,prompt0,5,0,2,1
claude,debate80,prompt0,5,0,3,1
claude,debate80,prompt0,5,0,4,1
claude,debate80,prompt0,5,0,5,1
claude,debate81,prompt0,5,0,1,1
claude,debate81,prompt0,5,0,2,1
claude,debate81,prompt0,5,0,3,1
claude,debate81,prompt0,5,0,4,1
claude,debate81,prompt0,5,0,5,1
claude,debate82,prompt0,5,0,1,1
claude,debate82,prompt0,5,0,2,1
claude,debate82,prompt0,5,0,3,1
claude,debate82,prompt0,5,0,4,1
claude,debate82,prompt0,5,0,5,1
claude,debate83,prompt0,5,0,1,1
claude,debate83,prompt0,5,0,2,1
claude,debate83,prompt0,5,0,3,1
claude,debate83,prompt0,5,0,4,1
claude,debate83,prompt0,5,0,5,1
claude,debate84,prompt0,5,0,1,1
claude,debate84,prompt0,5,0,2,1
claude,debate84,prompt0,5,0,3,1
claude,debate84,prompt0,5,0,4,1
claude,debate84,prompt0,5,0,5,1
claude,debate85,prompt0,5,0,1,1
claude,debate85,prompt0,5,0,2,1
claude,debate85,prompt0,5,0,3,1
claude,debate85,prompt0,5,0,4,1
claude,debate85,prompt0,5,0,5,1
claude,debate86,prompt0,5,0,1,1
claude,debate86,prompt0,5,0,2,1
claude,debate86,prompt0,5,0,3,1
claude,debate86,prompt0,5,0,4,1
claude,debate86,prompt0,5,0,5,1
claude,debate87,prompt0,5,0,1,1
claude,debate87,prompt0,5,0,2,1
claude,debate87,prompt0,5,0,3,1
claude,debate87,prompt0,5,0,4,1
claude,debate87,prompt0,5,0,5,1
claude,debate88,prompt0,5,0,1,1
claude,debate88,prompt0,5,0,2,1
claude,debate88,prompt0,5,0,3,1
claude,debate88,prompt0,5,0,4,1
claude,debate88,prompt0,5,0,5,1
claude,debate89,prompt0,5,0,1,1
claude,debate89,prompt0,5,0,2,1
claude,debate89,prompt0,5,0,3,1
claude,debate89,prompt0,5,0,4,1
claude,debate89,prompt0,5,0,5,1
claude,debate90,prompt0,5,0,1,1
claude,debate90,prompt0,5,0,2,1
claude,debate90,prompt0,5,0,3,1
claude,debate90,prompt0,5,0,4,1
claude,debate90,prompt0,5,0,5,1
claude,debate91,prompt0,5,0,1,1
claude,debate91,prompt0,5,0,2,1
claude,debate91,prompt0,5,0,3,1
claude,debate91,prompt0,5,0,4,1
claude,debate91,prompt0,5,0,5,1
claude,debate92,prompt0,5,0,1,1
claude,debate92,prompt0,5,0,2,1
claude,debate92,prompt0,5,0,3,1
claude,debate92,prompt0,5,0,4,1
claude,debate92,prompt0,5,0,5,1
claude,debate93,prompt0,5,0,1,1
claude,debate93,prompt0,5,0,2,1
claude,debate93,prompt0,5,0,3,1
claude,debate93,prompt0,5,0,4,1
claude,debate93,prompt0,5,0,5,1
claude,debate94,prompt0,5,0,1,1
claude,debate94,prompt0,5,0,2,1
claude,debate94,prompt0,5,0,3,1
claude,debate94,prompt0,5,0,4,1
claude,debate94,prompt0,5,0,5,1
claude,debate95,prompt0,5,0,1,1
claude,debate95,prompt0,5,0,2,1
claude,debate95,prompt0,5,0,3,1
claude,debate95,prompt0,5,0,4,1
claude,debate95,prompt0,5,0,5,1
claude,debate96,prompt0,5,0,1,1
claude,debate96,prompt0,5,0,2,1
claude,debate96,prompt0,5,0,3,1
claude,debate96,prompt0,5,0,4,1
claude,debate96,prompt0,5,0,5,1
claude,debate97,prompt0,5,0,1,1
claude,debate97,prompt0,5,0,2,1
claude,debate97,prompt0,5,0,3,1
claude,debate97,prompt0,5,0,4,1
claude,debate97,prompt0,5,0,5,1
claude,debate98,prompt0,5,0,1,1
claude,debate98,prompt0,5,0,2,1
claude,debate98,prompt0,5,0,3,1
claude,debate98,prompt0,5,0,4,1
claude,debate98,prompt0,5,0,5,1
claude,debate99,prompt0,5,0,1,1
claude,debate99,prompt0,5,0,2,1
claude,debate99,prompt0,5,0,3,1
claude,debate99,prompt0,5,0,4,1
claude,debate99,prompt0,5,0,5,1
claude,debate100,prompt0,5,0,1,1
claude,debate100,prompt0,5,0,2,1
claude,debate100,prompt0,5,0,3,1
claude,debate100,prompt0,5,0,4,1
claude,debate100,prompt0,5,0,5,1
claude,debate1,prompt1,5,0,1,1
claude,debate1,prompt1,5,0,2,1
claude,debate1,prompt1,5,0,3,1
claude,debate1,prompt1,5,0,4,1
claude,debate1,prompt1,5,0,5,1
claude,debate2,prompt1,5,0,1,1
claude,debate2,prompt1,5,0,2,1
claude,debate2,prompt1,5,0,3,1
claude,debate2,prompt1,5,0,4,1
claude,debate2,prompt1,5,0,5,1
claude,debate3,prompt1,5,0,1,1
claude,debate3,prompt1,5,0,2,1
claude,debate3,prompt1,5,0,3,1
claude,debate3,prompt1,5,0,4,1
claude,debate3,prompt1,5,0,5,1
claude,debate4,prompt1,5,0,1,1
claude,debate4,prompt1,5,0,2,1
claude,debate4,prompt1,5,0,3,1
claude,debate4,prompt1,5,0,4,1
claude,debate4,prompt1,5,0,5,1
claude,debate5,prompt1,5,0,1,1
claude,debate5,prompt1,5,0,2,1
claude,debate5,prompt1,5,0,3,1
claude,debate5,prompt1,5,0,4,1
claude,debate5,prompt1,5,0,5,1
claude,debate6,prompt1,5,0,1,1
claude,debate6,prompt1,5,0,2,1
claude,debate6,prompt1,5,0,3,1
claude,debate6,prompt1,5,0,4,1
claude,debate6,prompt1,5,0,5,1
claude,debate7,prompt1,5,0,1,1
claude,debate7,prompt1,5,0,2,1
claude,debate7,prompt1,5,0,3,1
claude,debate7,prompt1,5,0,4,1
claude,debate7,prompt1,5,0,5,1
claude,debate8,prompt1,5,0,1,1
claude,debate8,prompt1,5,0,2,1
claude,debate8,prompt1,5,0,3,1
claude,debate8,prompt1,5,0,4,1
claude,debate8,prompt1,5,0,5,1
claude,debate9,prompt1,5,0,1,1
claude,debate9,prompt1,5,0,2,1
claude,debate9,prompt1,5,0,3,1
claude,debate9,prompt1,5,0,4,1
claude,debate9,prompt1,5,0,5,1
claude,debate10,prompt1,5,0,1,1
claude,debate10,prompt1,5,0,2,1
claude,debate10,prompt1,5,0,3,1
claude,debate10,prompt1,5,0,4,1
claude,debate10,prompt1,5,0,5,1
claude,debate11,prompt1,5,0,1,1
claude,debate11,prompt1,5,0,2,1
claude,debate11,prompt1,5,0,3,1
claude,debate11,prompt1,5,0,4,1
claude,debate11,prompt1,5,0,5,1
claude,debate12,prompt1,5,0,1,1
claude,debate12,prompt1,5,0,2,1
claude,debate12,prompt1,5,0,3,1
claude,debate12,prompt1,5,0,4,1
claude,debate12,prompt1,5,0,5,1
claude,debate13,prompt1,5,0,1,1
claude,debate13,prompt1,5,0,2,1
claude,debate13,prompt1,5,0,3,1
claude,debate13,prompt1,5,0,4,1
claude,debate13,prompt1,5,0,5,1
claude,debate14,prompt1,5,0,1,1
claude,debate14,prompt1,5,0,2,1
claude,debate14,prompt1,5,0,3,1
claude,debate14,prompt1,5,0,4,1
claude,debate14,prompt1,5,0,5,1
claude,debate15,prompt1,5,0,1,1
claude,debate15,prompt1,5,0,2,1
claude,debate15,prompt1,5,0,3,1
claude,debate15,prompt1,5,0,4,1
claude,debate15,prompt1,5,0,5,1
claude,debate16,prompt1,5,0,1,1
claude,debate16,prompt1,5,0,2,1
claude,debate16,prompt1,5,0,3,1
claude,debate16,prompt1,5,0,4,1
claude,debate16,prompt1,5,0,5,1
claude,debate17,prompt1,5,0,1,1
claude,debate17,prompt1,5,0,2,1
claude,debate17,prompt1,5,0,3,1
claude,debate17,prompt1,5,0,4,1
claude,debate17,prompt1,5,0,5,1
claude,debate18,prompt1,1,1,1,1
claude,debate18,prompt1,1,1,2,0
claude,debate18,prompt1,1,1,3,0
claude,debate18,prompt1,1,1,4,0
claude,debate18,prompt1,1,1,5,0
claude,debate19,prompt1,5,0,1,1
claude,debate19,prompt1,5,0,2,1
claude,debate19,prompt1,5,0,3,1
claude,debate19,prompt1,5,0,4,1
claude,debate19,prompt1,5,0,5,1
claude,debate20,prompt1,5,0,1,1
claude,debate20,prompt1,5,0,2,1
claude,debate20,prompt1,5,0,3,1
claude,debate20,prompt1,5,0,4,1
claude,debate20,prompt1,5,0,5,1
claude,debate21,prompt1,0,0,1,0
claude,debate21,prompt1,0,0,2,0
claude,debate21,prompt1,0,0,3,0
claude,debate21,prompt1,0,0,4,0
claude,debate21,prompt1,0,0,5,0
claude,debate22,prompt1,5,0,1,1
claude,debate22,prompt1,5,0,2,1
claude,debate22,prompt1,5,0,3,1
claude,debate22,prompt1,5,0,4,1
claude,debate22,prompt1,5,0,5,1
claude,debate23,prompt1,5,0,1,1
claude,debate23,prompt1,5,0,2,1
claude,debate23,prompt1,5,0,3,1
claude,debate23,prompt1,5,0,4,1
claude,debate23,prompt1,5,0,5,1
claude,debate24,prompt1,0,0,1,0
claude,debate24,prompt1,0,0,2,0
claude,debate24,prompt1,0,0,3,0
claude,debate24,prompt1,0,0,4,0
claude,debate24,prompt1,0,0,5,0
claude,debate25,prompt1,5,0,1,1
claude,debate25,prompt1,5,0,2,1
claude,debate25,prompt1,5,0,3,1
claude,debate25,prompt1,5,0,4,1
claude,debate25,prompt1,5,0,5,1
claude,debate26,prompt1,5,0,1,1
claude,debate26,prompt1,5,0,2,1
claude,debate26,prompt1,5,0,3,1
claude,debate26,prompt1,5,0,4,1
claude,debate26,prompt1,5,0,5,1
claude,debate27,prompt1,5,0,1,1
claude,debate27,prompt1,5,0,2,1
claude,debate27,prompt1,5,0,3,1
claude,debate27,prompt1,5,0,4,1
claude,debate27,prompt1,5,0,5,1
claude,debate28,prompt1,5,0,1,1
claude,debate28,prompt1,5,0,2,1
claude,debate28,prompt1,5,0,3,1
claude,debate28,prompt1,5,0,4,1
claude,debate28,prompt1,5,0,5,1
claude,debate29,prompt1,5,0,1,1
claude,debate29,prompt1,5,0,2,1
claude,debate29,prompt1,5,0,3,1
claude,debate29,prompt1,5,0,4,1
claude,debate29,prompt1,5,0,5,1
claude,debate30,prompt1,5,0,1,1
claude,debate30,prompt1,5,0,2,1
claude,debate30,prompt1,5,0,3,1
claude,debate30,prompt1,5,0,4,1
claude,debate30,prompt1,5,0,5,1
claude,debate31,prompt1,5,0,1,1
claude,debate31,prompt1,5,0,2,1
claude,debate31,prompt1,5,0,3,1
claude,debate31,prompt1,5,0,4,1
claude,debate31,prompt1,5,0,5,1
claude,debate32,prompt1,2,1,1,1
claude,debate32,prompt1,2,1,2,1
claude,debate32,prompt1,2,1,3,0
claude,debate32,prompt1,2,1,4,0
claude,debate32,prompt1,2,1,5,0
claude,debate33,prompt1,5,0,1,1
claude,debate33,prompt1,5,0,2,1
claude,debate33,prompt1,5,0,3,1
claude,debate33,prompt1,5,0,4,1
claude,debate33,prompt1,5,0,5,1
claude,debate34,prompt1,5,0,1,1
claude,debate34,prompt1,5,0,2,1
claude,debate34,prompt1,5,0,3,1
claude,debate34,prompt1,5,0,4,1
claude,debate34,prompt1,5,0,5,1
claude,debate35,prompt1,5,0,1,1
claude,debate35,prompt1,5,0,2,1
claude,debate35,prompt1,5,0,3,1
claude,debate35,prompt1,5,0,4,1
claude,debate35,prompt1,5,0,5,1
claude,debate36,prompt1,5,0,1,1
claude,debate36,prompt1,5,0,2,1
claude,debate36,prompt1,5,0,3,1
claude,debate36,prompt1,5,0,4,1
claude,debate36,prompt1,5,0,5,1
claude,debate37,prompt1,5,0,1,1
claude,debate37,prompt1,5,0,2,1
claude,debate37,prompt1,5,0,3,1
claude,debate37,prompt1,5,0,4,1
claude,debate37,prompt1,5,0,5,1
claude,debate38,prompt1,5,0,1,1
claude,debate38,prompt1,5,0,2,1
claude,debate38,prompt1,5,0,3,1
claude,debate38,prompt1,5,0,4,1
claude,debate38,prompt1,5,0,5,1
claude,debate39,prompt1,5,0,1,1
claude,debate39,prompt1,5,0,2,1
claude,debate39,prompt1,5,0,3,1
claude,debate39,prompt1,5,0,4,1
claude,debate39,prompt1,5,0,5,1
claude,debate40,prompt1,5,0,1,1
claude,debate40,prompt1,5,0,2,1
