GroupID,Segment,LSM,WC.Total
claude_prompt4_debate12_1,1,0.51,177
claude_prompt4_debate12_2,1,0.41,214
claude_prompt4_debate12_3,1,0.41,214
claude_prompt4_debate12_4,1,0.41,214
claude_prompt4_debate12_5,1,0.41,214
claude_prompt1_debate13_1,1,0.24,215
claude_prompt1_debate13_2,1,0.40,236
claude_prompt1_debate13_3,1,0.40,236
claude_prompt1_debate13_4,1,0.40,236
claude_prompt1_debate13_5,1,0.40,236
claude_prompt2_debate13_1,1,0.24,207
claude_prompt2_debate13_2,1,0.46,235
claude_prompt2_debate13_3,1,0.46,235
claude_prompt2_debate13_4,1,0.46,235
claude_prompt2_debate13_5,1,0.46,235
claude_prompt3_debate13_1,1,0.22,199
claude_prompt3_debate13_2,1,0.42,244
claude_prompt3_debate13_3,1,0.42,245
claude_prompt3_debate13_4,1,0.42,245
claude_prompt3_debate13_5,1,0.42,245
claude_prompt4_debate13_1,1,0.26,210
claude_prompt4_debate13_2,1,0.47,235
claude_prompt4_debate13_3,1,0.47,235
claude_prompt4_debate13_4,1,0.44,247
claude_prompt4_debate13_5,1,0.46,255
claude_prompt1_debate14_1,1,0.32,205
claude_prompt1_debate14_2,1,0.42,236
claude_prompt1_debate14_3,1,0.38,232
claude_prompt1_debate14_4,1,0.43,230
claude_prompt1_debate14_5,1,0.34,236
claude_prompt2_debate14_1,1,0.25,192
claude_prompt2_debate14_2,1,0.46,219
claude_prompt2_debate14_3,1,0.50,244
claude_prompt2_debate14_4,1,0.50,252
claude_prompt2_debate14_5,1,0.46,260
claude_prompt3_debate14_1,1,0.33,175
claude_prompt3_debate14_2,1,0.34,231
claude_prompt3_debate14_3,1,0.34,231
claude_prompt3_debate14_4,1,0.34,231
claude_prompt3_debate14_5,1,0.34,231
claude_prompt4_debate14_1,1,0.24,221
claude_prompt4_debate14_2,1,0.49,248
claude_prompt4_debate14_3,1,0.46,261
claude_prompt4_debate14_4,1,0.42,257
claude_prompt4_debate14_5,1,0.40,265
claude_prompt1_debate15_1,1,0.26,209
claude_prompt1_debate15_2,1,0.43,236
claude_prompt1_debate15_3,1,0.44,238
claude_prompt1_debate15_4,1,0.40,256
claude_prompt1_debate15_5,1,0.40,268
claude_prompt2_debate15_1,1,0.28,166
claude_prompt2_debate15_2,1,0.46,239
claude_prompt2_debate15_3,1,0.46,233
claude_prompt2_debate15_4,1,0.47,261
claude_prompt2_debate15_5,1,0.51,258
claude_prompt3_debate15_1,1,0.26,211
claude_prompt3_debate15_2,1,0.44,229
claude_prompt3_debate15_3,1,0.44,228
claude_prompt3_debate15_4,1,0.44,228
claude_prompt3_debate15_5,1,0.44,228
claude_prompt4_debate15_1,1,0.26,197
claude_prompt4_debate15_2,1,0.45,229
claude_prompt4_debate15_3,1,0.46,249
claude_prompt4_debate15_4,1,0.49,254
claude_prompt4_debate15_5,1,0.47,254
claude_prompt0_debate16_1,1,0.32,242
claude_prompt0_debate16_2,1,0.41,247
claude_prompt0_debate16_3,1,0.36,242
claude_prompt0_debate16_4,1,0.41,258
claude_prompt0_debate16_5,1,0.38,269
claude_prompt1_debate16_1,1,0.43,229
claude_prompt1_debate16_2,1,0.39,253
claude_prompt1_debate16_3,1,0.39,253
claude_prompt1_debate16_4,1,0.39,253
claude_prompt1_debate16_5,1,0.39,253
claude_prompt2_debate16_1,1,0.34,193
claude_prompt2_debate16_2,1,0.49,248
claude_prompt2_debate16_3,1,0.49,245
claude_prompt2_debate16_4,1,0.51,265
claude_prompt2_debate16_5,1,0.50,271
claude_prompt3_debate16_1,1,0.31,226
claude_prompt3_debate16_2,1,0.31,259
claude_prompt3_debate16_3,1,0.34,268
claude_prompt3_debate16_4,1,0.34,281
claude_prompt3_debate16_5,1,0.29,294
claude_prompt4_debate16_1,1,0.31,215
claude_prompt4_debate16_2,1,0.32,243
claude_prompt4_debate16_3,1,0.39,253
claude_prompt4_debate16_4,1,0.43,275
claude_prompt4_debate16_5,1,0.36,276
claude_prompt0_debate17_1,1,0.23,206
claude_prompt0_debate17_2,1,0.48,243
claude_prompt0_debate17_3,1,0.48,243
claude_prompt0_debate17_4,1,0.47,260
claude_prompt0_debate17_5,1,0.48,262
claude_prompt1_debate17_1,1,0.20,203
claude_prompt1_debate17_2,1,0.43,232
claude_prompt1_debate17_3,1,0.43,232
claude_prompt1_debate17_4,1,0.43,232
claude_prompt1_debate17_5,1,0.43,232
claude_prompt2_debate17_1,1,0.22,185
claude_prompt2_debate17_2,1,0.50,245
claude_prompt2_debate17_3,1,0.51,260
claude_prompt2_debate17_4,1,0.56,269
claude_prompt2_debate17_5,1,0.50,277
claude_prompt3_debate17_1,1,0.23,208
claude_prompt3_debate17_2,1,0.51,258
claude_prompt3_debate17_3,1,0.51,258
claude_prompt3_debate17_4,1,0.51,258
claude_prompt3_debate17_5,1,0.51,258
claude_prompt4_debate17_1,1,0.22,219
claude_prompt4_debate17_2,1,0.51,238
claude_prompt4_debate17_3,1,0.51,248
claude_prompt4_debate17_4,1,0.53,259
claude_prompt4_debate17_5,1,0.50,261
claude_prompt0_debate18_1,1,0.33,198
claude_prompt0_debate18_2,1,0.41,228
claude_prompt0_debate18_3,1,0.44,236
claude_prompt0_debate18_4,1,0.46,254
claude_prompt0_debate18_5,1,0.43,268
claude_prompt1_debate18_1,1,0.46,188
claude_prompt1_debate18_2,1,0.40,239
claude_prompt1_debate18_3,1,0.42,246
claude_prompt1_debate18_4,1,0.48,268
claude_prompt1_debate18_5,1,0.44,258
claude_prompt2_debate18_1,1,0.39,206
claude_prompt2_debate18_2,1,0.49,246
claude_prompt2_debate18_3,1,0.47,252
claude_prompt2_debate18_4,1,0.45,274
claude_prompt2_debate18_5,1,0.45,261
claude_prompt3_debate18_1,1,0.35,204
claude_prompt3_debate18_2,1,0.37,214
claude_prompt3_debate18_3,1,0.36,225
claude_prompt3_debate18_4,1,0.40,250
claude_prompt3_debate18_5,1,0.32,253
claude_prompt4_debate18_1,1,0.39,214
claude_prompt4_debate18_2,1,0.47,246
claude_prompt4_debate18_3,1,0.46,248
claude_prompt4_debate18_4,1,0.44,268
claude_prompt4_debate18_5,1,0.41,266
claude_prompt0_debate19_1,1,0.37,227
claude_prompt0_debate19_2,1,0.40,247
claude_prompt0_debate19_3,1,0.41,260
claude_prompt0_debate19_4,1,0.43,270
claude_prompt0_debate19_5,1,0.45,265
claude_prompt1_debate19_1,1,0.40,253
claude_prompt1_debate19_2,1,0.48,264
claude_prompt1_debate19_3,1,0.42,270
claude_prompt1_debate19_4,1,0.41,277
claude_prompt1_debate19_5,1,0.40,280
claude_prompt2_debate19_1,1,0.41,186
claude_prompt2_debate19_2,1,0.41,241
claude_prompt2_debate19_3,1,0.40,244
claude_prompt2_debate19_4,1,0.42,261
claude_prompt2_debate19_5,1,0.44,252
claude_prompt3_debate19_1,1,0.45,223
claude_prompt3_debate19_2,1,0.45,255
claude_prompt3_debate19_3,1,0.45,255
claude_prompt3_debate19_4,1,0.45,255
claude_prompt3_debate19_5,1,0.45,255
claude_prompt4_debate19_1,1,0.42,216
claude_prompt4_debate19_2,1,0.45,262
claude_prompt4_debate19_3,1,0.46,262
claude_prompt4_debate19_4,1,0.47,282
claude_prompt4_debate19_5,1,0.48,280
claude_prompt0_debate2_1,1,0.36,205
claude_prompt0_debate2_2,1,0.38,236
claude_prompt0_debate2_3,1,0.37,247
claude_prompt0_debate2_4,1,0.40,266
claude_prompt0_debate2_5,1,0.35,259
claude_prompt1_debate2_1,1,0.42,231
claude_prompt1_debate2_2,1,0.45,243
claude_prompt1_debate2_3,1,0.34,257
claude_prompt1_debate2_4,1,0.39,263
claude_prompt1_debate2_5,1,0.39,268
claude_prompt2_debate2_1,1,0.41,217
claude_prompt2_debate2_2,1,0.42,244
claude_prompt2_debate2_3,1,0.43,250
claude_prompt2_debate2_4,1,0.52,258
claude_prompt2_debate2_5,1,0.43,254
claude_prompt3_debate2_1,1,0.53,190
claude_prompt3_debate2_2,1,0.38,238
claude_prompt3_debate2_3,1,0.40,235
claude_prompt3_debate2_4,1,0.34,251
claude_prompt3_debate2_5,1,0.34,246
claude_prompt4_debate2_1,1,0.52,215
claude_prompt4_debate2_2,1,0.50,236
claude_prompt4_debate2_3,1,0.45,246
claude_prompt4_debate2_4,1,0.42,258
claude_prompt4_debate2_5,1,0.47,258
claude_prompt1_debate20_1,1,0.42,203
claude_prompt1_debate20_2,1,0.42,241
claude_prompt1_debate20_3,1,0.42,241
claude_prompt1_debate20_4,1,0.42,241
claude_prompt1_debate20_5,1,0.42,241
claude_prompt2_debate20_1,1,0.27,149
claude_prompt2_debate20_2,1,0.48,243
claude_prompt2_debate20_3,1,0.46,252
claude_prompt2_debate20_4,1,0.38,259
claude_prompt2_debate20_5,1,0.42,282
claude_prompt3_debate20_1,1,0.28,190
claude_prompt3_debate20_2,1,0.44,248
claude_prompt3_debate20_3,1,0.44,248
claude_prompt3_debate20_4,1,0.44,248
claude_prompt3_debate20_5,1,0.44,248
claude_prompt4_debate20_1,1,0.31,173
claude_prompt4_debate20_2,1,0.50,241
claude_prompt4_debate20_3,1,0.45,247
claude_prompt4_debate20_4,1,0.47,260
claude_prompt4_debate20_5,1,0.48,264
claude_prompt1_debate21_1,1,0.40,177
claude_prompt1_debate21_2,1,0.50,203
claude_prompt1_debate21_3,1,0.45,248
claude_prompt1_debate21_4,1,0.43,245
claude_prompt1_debate21_5,1,0.40,260
claude_prompt2_debate21_1,1,0.44,186
claude_prompt2_debate21_2,1,0.53,234
claude_prompt2_debate21_3,1,0.51,243
claude_prompt2_debate21_4,1,0.45,263
claude_prompt2_debate21_5,1,0.47,251
claude_prompt3_debate21_1,1,0.40,178
claude_prompt3_debate21_2,1,0.38,237
claude_prompt3_debate21_3,1,0.46,245
claude_prompt3_debate21_4,1,0.32,256
claude_prompt3_debate21_5,1,0.45,261
claude_prompt4_debate21_1,1,0.42,189
claude_prompt4_debate21_2,1,0.53,237
claude_prompt4_debate21_3,1,0.46,249
claude_prompt4_debate21_4,1,0.54,256
claude_prompt4_debate21_5,1,0.41,253
claude_prompt0_debate22_1,1,0.31,205
claude_prompt0_debate22_2,1,0.40,220
claude_prompt0_debate22_3,1,0.42,242
claude_prompt0_debate22_4,1,0.37,262
claude_prompt0_debate22_5,1,0.34,274
claude_prompt1_debate22_1,1,0.28,232
claude_prompt1_debate22_2,1,0.39,237
claude_prompt1_debate22_3,1,0.39,237
claude_prompt1_debate22_4,1,0.39,237
claude_prompt1_debate22_5,1,0.39,237
claude_prompt2_debate22_1,1,0.41,214
claude_prompt2_debate22_2,1,0.46,229
claude_prompt2_debate22_3,1,0.50,241
claude_prompt2_debate22_4,1,0.44,257
claude_prompt2_debate22_5,1,0.45,263
claude_prompt3_debate22_1,1,0.46,180
claude_prompt3_debate22_2,1,0.41,206
claude_prompt3_debate22_3,1,0.36,230
claude_prompt3_debate22_4,1,0.36,255
claude_prompt3_debate22_5,1,0.38,252
claude_prompt4_debate22_1,1,0.40,191
claude_prompt4_debate22_2,1,0.45,230
claude_prompt4_debate22_3,1,0.45,244
claude_prompt4_debate22_4,1,0.49,248
claude_prompt4_debate22_5,1,0.49,267
claude_prompt0_debate23_1,1,0.27,246
claude_prompt0_debate23_2,1,0.33,228
claude_prompt0_debate23_3,1,0.38,241
claude_prompt0_debate23_4,1,0.42,258
claude_prompt0_debate23_5,1,0.43,266
claude_prompt1_debate23_1,1,0.30,246
claude_prompt1_debate23_2,1,0.53,257
claude_prompt1_debate23_3,1,0.53,257
claude_prompt1_debate23_4,1,0.53,257
claude_prompt1_debate23_5,1,0.53,257
claude_prompt2_debate23_1,1,0.34,205
claude_prompt2_debate23_2,1,0.50,235
claude_prompt2_debate23_3,1,0.47,248
claude_prompt2_debate23_4,1,0.52,261
claude_prompt2_debate23_5,1,0.50,271
claude_prompt3_debate23_1,1,0.30,241
claude_prompt3_debate23_2,1,0.44,257
claude_prompt3_debate23_3,1,0.44,257
claude_prompt3_debate23_4,1,0.44,257
claude_prompt3_debate23_5,1,0.44,257
claude_prompt4_debate23_1,1,0.33,205
claude_prompt4_debate23_2,1,0.41,256
claude_prompt4_debate23_3,1,0.46,258
claude_prompt4_debate23_4,1,0.46,260
claude_prompt4_debate23_5,1,0.49,276
claude_prompt0_debate24_1,1,0.44,206
claude_prompt0_debate24_2,1,0.33,214
claude_prompt0_debate24_3,1,0.36,237
claude_prompt0_debate24_4,1,0.37,248
claude_prompt0_debate24_5,1,0.43,259
claude_prompt1_debate24_1,1,0.32,184
claude_prompt1_debate24_2,1,0.37,231
claude_prompt1_debate24_3,1,0.37,231
claude_prompt1_debate24_4,1,0.37,231
claude_prompt1_debate24_5,1,0.37,231
claude_prompt2_debate24_1,1,0.35,171
claude_prompt2_debate24_2,1,0.45,223
claude_prompt2_debate24_3,1,0.42,244
claude_prompt2_debate24_4,1,0.48,246
claude_prompt2_debate24_5,1,0.45,256
claude_prompt3_debate24_1,1,0.38,202
claude_prompt3_debate24_2,1,0.41,232
claude_prompt3_debate24_3,1,0.43,241
claude_prompt3_debate24_4,1,0.39,258
claude_prompt3_debate24_5,1,0.38,254
claude_prompt4_debate24_1,1,0.38,167
claude_prompt4_debate24_2,1,0.44,221
claude_prompt4_debate24_3,1,0.44,221
claude_prompt4_debate24_4,1,0.44,221
claude_prompt4_debate24_5,1,0.44,221
claude_prompt0_debate25_1,1,0.52,223
claude_prompt0_debate25_2,1,0.36,231
claude_prompt0_debate25_3,1,0.36,245
claude_prompt0_debate25_4,1,0.38,256
claude_prompt0_debate25_5,1,0.33,269
claude_prompt1_debate25_1,1,0.45,200
claude_prompt1_debate25_2,1,0.39,234
claude_prompt1_debate25_3,1,0.42,242
claude_prompt1_debate25_4,1,0.41,254
claude_prompt1_debate25_5,1,0.45,250
claude_prompt2_debate25_1,1,0.48,205
claude_prompt2_debate25_2,1,0.38,260
claude_prompt2_debate25_3,1,0.46,268
claude_prompt2_debate25_4,1,0.42,273
claude_prompt2_debate25_5,1,0.41,268
claude_prompt3_debate25_1,1,0.56,202
claude_prompt3_debate25_2,1,0.44,240
claude_prompt3_debate25_3,1,0.40,269
claude_prompt3_debate25_4,1,0.37,272
claude_prompt3_debate25_5,1,0.38,277
claude_prompt4_debate25_1,1,0.56,200
claude_prompt4_debate25_2,1,0.47,261
claude_prompt4_debate25_3,1,0.40,271
claude_prompt4_debate25_4,1,0.41,284
claude_prompt4_debate25_5,1,0.44,283
claude_prompt0_debate26_1,1,0.53,208
claude_prompt0_debate26_2,1,0.45,246
claude_prompt0_debate26_3,1,0.47,265
claude_prompt0_debate26_4,1,0.47,265
claude_prompt0_debate26_5,1,0.48,274
claude_prompt1_debate26_1,1,0.65,225
claude_prompt1_debate26_2,1,0.43,257
claude_prompt1_debate26_3,1,0.46,258
claude_prompt1_debate26_4,1,0.47,267
claude_prompt1_debate26_5,1,0.49,274
claude_prompt2_debate26_1,1,0.53,215
claude_prompt2_debate26_2,1,0.51,241
claude_prompt2_debate26_3,1,0.45,260
claude_prompt2_debate26_4,1,0.50,280
claude_prompt2_debate26_5,1,0.44,278
claude_prompt3_debate26_1,1,0.51,223
claude_prompt3_debate26_2,1,0.50,247
claude_prompt3_debate26_3,1,0.47,260
claude_prompt3_debate26_4,1,0.51,262
claude_prompt3_debate26_5,1,0.50,273
claude_prompt4_debate26_1,1,0.49,225
claude_prompt4_debate26_2,1,0.52,271
claude_prompt4_debate26_3,1,0.40,275
claude_prompt4_debate26_4,1,0.44,286
claude_prompt4_debate26_5,1,0.50,285
claude_prompt0_debate27_1,1,0.32,213
claude_prompt0_debate27_2,1,0.37,239
claude_prompt0_debate27_3,1,0.37,239
claude_prompt0_debate27_4,1,0.37,239
claude_prompt0_debate27_5,1,0.37,239
claude_prompt1_debate27_1,1,0.27,199
claude_prompt1_debate27_2,1,0.45,248
claude_prompt1_debate27_3,1,0.47,251
claude_prompt1_debate27_4,1,0.38,277
claude_prompt1_debate27_5,1,0.36,265
claude_prompt2_debate27_1,1,0.27,183
claude_prompt2_debate27_2,1,0.42,232
claude_prompt2_debate27_3,1,0.38,244
claude_prompt2_debate27_4,1,0.36,247
claude_prompt2_debate27_5,1,0.37,249
claude_prompt3_debate27_1,1,0.25,221
claude_prompt3_debate27_2,1,0.34,225
claude_prompt3_debate27_3,1,0.32,241
claude_prompt3_debate27_4,1,0.36,254
claude_prompt3_debate27_5,1,0.39,251
claude_prompt4_debate27_1,1,0.41,184
claude_prompt4_debate27_2,1,0.45,233
claude_prompt4_debate27_3,1,0.45,233
claude_prompt4_debate27_4,1,0.40,248
claude_prompt4_debate27_5,1,0.42,255
claude_prompt0_debate28_1,1,0.39,244
claude_prompt0_debate28_2,1,0.44,251
claude_prompt0_debate28_3,1,0.47,252
claude_prompt0_debate28_4,1,0.44,273
claude_prompt0_debate28_5,1,0.46,271
claude_prompt1_debate28_1,1,0.23,241
claude_prompt1_debate28_2,1,0.43,234
claude_prompt1_debate28_3,1,0.42,248
claude_prompt1_debate28_4,1,0.42,259
claude_prompt1_debate28_5,1,0.40,257
claude_prompt2_debate28_1,1,0.29,207
claude_prompt2_debate28_2,1,0.48,234
claude_prompt2_debate28_3,1,0.51,255
claude_prompt2_debate28_4,1,0.46,264
claude_prompt2_debate28_5,1,0.47,269
claude_prompt3_debate28_1,1,0.37,210
claude_prompt3_debate28_2,1,0.42,226
claude_prompt3_debate28_3,1,0.42,226
claude_prompt3_debate28_4,1,0.42,226
claude_prompt3_debate28_5,1,0.42,226
claude_prompt4_debate28_1,1,0.25,232
claude_prompt4_debate28_2,1,0.48,240
claude_prompt4_debate28_3,1,0.51,251
claude_prompt4_debate28_4,1,0.49,268
claude_prompt4_debate28_5,1,0.44,270
claude_prompt1_debate29_1,1,0.21,228
claude_prompt1_debate29_2,1,0.50,231
claude_prompt1_debate29_3,1,0.50,231
claude_prompt1_debate29_4,1,0.50,231
claude_prompt1_debate29_5,1,0.50,231
claude_prompt2_debate29_1,1,0.25,176
claude_prompt2_debate29_2,1,0.47,233
claude_prompt2_debate29_3,1,0.49,250
claude_prompt2_debate29_4,1,0.53,253
claude_prompt2_debate29_5,1,0.49,264
claude_prompt3_debate29_1,1,0.22,199
claude_prompt3_debate29_2,1,0.49,242
claude_prompt3_debate29_3,1,0.49,242
claude_prompt3_debate29_4,1,0.49,242
claude_prompt3_debate29_5,1,0.49,242
claude_prompt4_debate29_1,1,0.35,184
claude_prompt4_debate29_2,1,0.47,234
claude_prompt4_debate29_3,1,0.51,245
claude_prompt4_debate29_4,1,0.44,239
claude_prompt4_debate29_5,1,0.43,240
claude_prompt0_debate3_1,1,0.40,235
claude_prompt0_debate3_2,1,0.40,247
claude_prompt0_debate3_3,1,0.46,257
claude_prompt0_debate3_4,1,0.43,267
claude_prompt0_debate3_5,1,0.45,267
claude_prompt1_debate3_1,1,0.56,222
claude_prompt1_debate3_2,1,0.35,241
claude_prompt1_debate3_3,1,0.35,241
claude_prompt1_debate3_4,1,0.35,241
claude_prompt1_debate3_5,1,0.35,241
claude_prompt2_debate3_1,1,0.44,200
claude_prompt2_debate3_2,1,0.50,252
claude_prompt2_debate3_3,1,0.42,261
claude_prompt2_debate3_4,1,0.51,268
claude_prompt2_debate3_5,1,0.46,268
claude_prompt3_debate3_1,1,0.42,228
claude_prompt3_debate3_2,1,0.40,245
claude_prompt3_debate3_3,1,0.40,245
claude_prompt3_debate3_4,1,0.40,245
claude_prompt3_debate3_5,1,0.40,245
claude_prompt4_debate3_1,1,0.43,180
claude_prompt4_debate3_2,1,0.42,231
claude_prompt4_debate3_3,1,0.41,243
claude_prompt4_debate3_4,1,0.35,255
claude_prompt4_debate3_5,1,0.48,260
claude_prompt0_debate30_1,1,0.24,198
claude_prompt0_debate30_2,1,0.39,229
claude_prompt0_debate30_3,1,0.41,244
claude_prompt0_debate30_4,1,0.43,263
claude_prompt0_debate30_5,1,0.40,260
claude_prompt1_debate30_1,1,0.24,217
claude_prompt1_debate30_2,1,0.49,243
claude_prompt1_debate30_3,1,0.44,255
claude_prompt1_debate30_4,1,0.45,258
claude_prompt1_debate30_5,1,0.46,266
claude_prompt2_debate30_1,1,0.25,194
claude_prompt2_debate30_2,1,0.45,235
claude_prompt2_debate30_3,1,0.49,263
claude_prompt2_debate30_4,1,0.47,273
claude_prompt2_debate30_5,1,0.42,275
claude_prompt3_debate30_1,1,0.24,189
claude_prompt3_debate30_2,1,0.46,233
claude_prompt3_debate30_3,1,0.46,233
claude_prompt3_debate30_4,1,0.46,233
claude_prompt3_debate30_5,1,0.46,233
claude_prompt4_debate30_1,1,0.26,227
claude_prompt4_debate30_2,1,0.52,255
claude_prompt4_debate30_3,1,0.50,254
claude_prompt4_debate30_4,1,0.44,271
claude_prompt4_debate30_5,1,0.47,271
claude_prompt0_debate31_1,1,0.37,255
claude_prompt0_debate31_2,1,0.35,245
claude_prompt0_debate31_3,1,0.46,249
claude_prompt0_debate31_4,1,0.35,277
claude_prompt0_debate31_5,1,0.34,273
claude_prompt1_debate31_1,1,0.29,236
claude_prompt1_debate31_2,1,0.36,252
claude_prompt1_debate31_3,1,0.36,252
claude_prompt1_debate31_4,1,0.36,254
claude_prompt1_debate31_5,1,0.26,269
claude_prompt2_debate31_1,1,0.30,155
claude_prompt2_debate31_2,1,0.49,228
claude_prompt2_debate31_3,1,0.48,245
claude_prompt2_debate31_4,1,0.48,254
claude_prompt2_debate31_5,1,0.41,265
claude_prompt3_debate31_1,1,0.40,225
claude_prompt3_debate31_2,1,0.45,239
claude_prompt3_debate31_3,1,0.38,253
claude_prompt3_debate31_4,1,0.38,264
claude_prompt3_debate31_5,1,0.39,266
claude_prompt4_debate31_1,1,0.30,170
claude_prompt4_debate31_2,1,0.42,231
claude_prompt4_debate31_3,1,0.51,242
claude_prompt4_debate31_4,1,0.41,267
claude_prompt4_debate31_5,1,0.44,268
claude_prompt0_debate32_1,1,0.37,243
claude_prompt0_debate32_2,1,0.38,241
claude_prompt0_debate32_3,1,0.37,254
claude_prompt0_debate32_4,1,0.32,263
claude_prompt0_debate32_5,1,0.37,279
claude_prompt1_debate32_1,1,0.43,240
claude_prompt1_debate32_2,1,0.39,242
claude_prompt1_debate32_3,1,0.40,255
claude_prompt1_debate32_4,1,0.38,262
claude_prompt1_debate32_5,1,0.41,263
claude_prompt2_debate32_1,1,0.42,260
claude_prompt2_debate32_2,1,0.44,241
claude_prompt2_debate32_3,1,0.43,263
claude_prompt2_debate32_4,1,0.43,259
claude_prompt2_debate32_5,1,0.40,262
claude_prompt3_debate32_1,1,0.50,187
claude_prompt3_debate32_2,1,0.36,239
claude_prompt3_debate32_3,1,0.36,239
claude_prompt3_debate32_4,1,0.36,239
claude_prompt3_debate32_5,1,0.36,239
claude_prompt4_debate32_1,1,0.54,208
claude_prompt4_debate32_2,1,0.38,257
claude_prompt4_debate32_3,1,0.45,259
claude_prompt4_debate32_4,1,0.47,279
claude_prompt4_debate32_5,1,0.42,276
claude_prompt0_debate33_1,1,0.40,196
claude_prompt0_debate33_2,1,0.39,233
claude_prompt0_debate33_3,1,0.39,233
claude_prompt0_debate33_4,1,0.32,244
