GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2
deepseek-r1_prompt2_debate10_4,1,human,agent,0.48,20,304
deepseek-r1_prompt2_debate10_5,1,human,agent,0.51,20,302
deepseek-r1_prompt3_debate10_1,1,human,agent,0.59,15,314
deepseek-r1_prompt3_debate10_2,1,human,agent,0.40,20,267
deepseek-r1_prompt3_debate10_3,1,human,agent,0.42,20,296
deepseek-r1_prompt3_debate10_4,1,human,agent,0.34,20,326
deepseek-r1_prompt3_debate10_5,1,human,agent,0.33,20,322
deepseek-r1_prompt4_debate10_1,1,human,agent,0.38,15,235
deepseek-r1_prompt4_debate10_2,1,human,agent,0.44,20,281
deepseek-r1_prompt4_debate10_3,1,human,agent,0.48,20,346
deepseek-r1_prompt4_debate10_4,1,human,agent,0.45,20,327
deepseek-r1_prompt4_debate10_5,1,human,agent,0.42,20,325
deepseek-r1_prompt0_debate100_1,1,human,agent,0.29,21,294
deepseek-r1_prompt0_debate100_2,1,human,agent,0.36,20,279
deepseek-r1_prompt0_debate100_3,1,human,agent,0.33,20,298
deepseek-r1_prompt0_debate100_4,1,human,agent,0.39,20,305
deepseek-r1_prompt0_debate100_5,1,human,agent,0.43,20,305
deepseek-r1_prompt1_debate100_1,1,human,agent,0.30,21,342
deepseek-r1_prompt1_debate100_2,1,human,agent,0.37,20,280
deepseek-r1_prompt1_debate100_3,1,human,agent,0.40,20,323
deepseek-r1_prompt1_debate100_4,1,human,agent,0.39,20,319
deepseek-r1_prompt1_debate100_5,1,human,agent,0.37,20,314
deepseek-r1_prompt2_debate100_1,1,human,agent,0.31,21,145
deepseek-r1_prompt2_debate100_2,1,human,agent,0.41,20,326
deepseek-r1_prompt2_debate100_3,1,human,agent,0.45,20,336
deepseek-r1_prompt2_debate100_4,1,human,agent,0.40,20,345
deepseek-r1_prompt2_debate100_5,1,human,agent,0.36,20,333
deepseek-r1_prompt3_debate100_1,1,human,agent,0.28,21,336
deepseek-r1_prompt3_debate100_2,1,human,agent,0.36,20,302
deepseek-r1_prompt3_debate100_3,1,human,agent,0.41,20,330
deepseek-r1_prompt3_debate100_4,1,human,agent,0.39,20,314
deepseek-r1_prompt3_debate100_5,1,human,agent,0.35,20,304
deepseek-r1_prompt4_debate100_1,1,human,agent,0.33,21,190
deepseek-r1_prompt4_debate100_2,1,human,agent,0.43,20,297
deepseek-r1_prompt4_debate100_3,1,human,agent,0.38,20,337
deepseek-r1_prompt4_debate100_4,1,human,agent,0.38,20,308
deepseek-r1_prompt4_debate100_5,1,human,agent,0.40,20,306
deepseek-r1_prompt0_debate11_1,1,human,agent,0.34,13,294
deepseek-r1_prompt0_debate11_2,1,human,agent,0.46,20,275
deepseek-r1_prompt0_debate11_3,1,human,agent,0.50,20,295
deepseek-r1_prompt0_debate11_4,1,human,agent,0.51,20,286
deepseek-r1_prompt0_debate11_5,1,human,agent,0.44,20,321
deepseek-r1_prompt1_debate11_1,1,human,agent,0.33,13,273
deepseek-r1_prompt1_debate11_2,1,human,agent,0.43,20,311
deepseek-r1_prompt1_debate11_3,1,human,agent,0.38,20,332
deepseek-r1_prompt1_debate11_4,1,human,agent,0.43,20,327
deepseek-r1_prompt1_debate11_5,1,human,agent,0.47,20,358
deepseek-r1_prompt2_debate11_1,1,human,agent,0.36,13,271
deepseek-r1_prompt2_debate11_2,1,human,agent,0.51,20,314
deepseek-r1_prompt2_debate11_3,1,human,agent,0.47,20,324
deepseek-r1_prompt2_debate11_4,1,human,agent,0.44,20,317
deepseek-r1_prompt2_debate11_5,1,human,agent,0.49,20,332
deepseek-r1_prompt3_debate11_1,1,human,agent,0.32,13,323
deepseek-r1_prompt3_debate11_2,1,human,agent,0.36,20,305
deepseek-r1_prompt3_debate11_3,1,human,agent,0.39,20,317
deepseek-r1_prompt3_debate11_4,1,human,agent,0.42,20,295
deepseek-r1_prompt3_debate11_5,1,human,agent,0.39,20,334
deepseek-r1_prompt4_debate11_1,1,human,agent,0.37,13,176
deepseek-r1_prompt4_debate11_2,1,human,agent,0.47,20,326
deepseek-r1_prompt4_debate11_3,1,human,agent,0.44,20,301
deepseek-r1_prompt4_debate11_4,1,human,agent,0.47,20,291
deepseek-r1_prompt4_debate11_5,1,human,agent,0.50,20,327
deepseek-r1_prompt0_debate12_1,1,human,agent,0.56,14,308
deepseek-r1_prompt0_debate12_2,1,human,agent,0.41,20,334
deepseek-r1_prompt0_debate12_3,1,human,agent,0.40,20,320
deepseek-r1_prompt0_debate12_4,1,human,agent,0.46,20,297
deepseek-r1_prompt0_debate12_5,1,human,agent,0.42,20,339
deepseek-r1_prompt1_debate12_1,1,human,agent,0.53,14,191
deepseek-r1_prompt1_debate12_2,1,human,agent,0.44,20,290
deepseek-r1_prompt1_debate12_3,1,human,agent,0.44,20,277
deepseek-r1_prompt1_debate12_4,1,human,agent,0.39,20,290
deepseek-r1_prompt1_debate12_5,1,human,agent,0.43,20,254
deepseek-r1_prompt2_debate12_1,1,human,agent,0.47,14,166
deepseek-r1_prompt2_debate12_2,1,human,agent,0.49,20,263
deepseek-r1_prompt2_debate12_3,1,human,agent,0.50,20,292
deepseek-r1_prompt2_debate12_4,1,human,agent,0.46,20,326
deepseek-r1_prompt2_debate12_5,1,human,agent,0.46,20,304
deepseek-r1_prompt3_debate12_1,1,human,agent,0.67,14,200
deepseek-r1_prompt3_debate12_2,1,human,agent,0.37,20,306
deepseek-r1_prompt3_debate12_3,1,human,agent,0.47,20,308
deepseek-r1_prompt3_debate12_4,1,human,agent,0.41,20,329
deepseek-r1_prompt3_debate12_5,1,human,agent,0.45,20,334
deepseek-r1_prompt4_debate12_1,1,human,agent,0.55,14,147
deepseek-r1_prompt4_debate12_2,1,human,agent,0.50,20,279
deepseek-r1_prompt4_debate12_3,1,human,agent,0.43,20,300
deepseek-r1_prompt4_debate12_4,1,human,agent,0.47,20,310
deepseek-r1_prompt4_debate12_5,1,human,agent,0.48,20,292
deepseek-r1_prompt0_debate13_1,1,human,agent,0.18,14,311
deepseek-r1_prompt0_debate13_2,1,human,agent,0.38,20,313
deepseek-r1_prompt0_debate13_3,1,human,agent,0.36,20,304
deepseek-r1_prompt0_debate13_4,1,human,agent,0.36,20,324
deepseek-r1_prompt0_debate13_5,1,human,agent,0.41,20,327
deepseek-r1_prompt1_debate13_1,1,human,agent,0.21,14,224
deepseek-r1_prompt1_debate13_2,1,human,agent,0.44,20,282
deepseek-r1_prompt1_debate13_3,1,human,agent,0.48,20,319
deepseek-r1_prompt1_debate13_4,1,human,agent,0.47,20,316
deepseek-r1_prompt1_debate13_5,1,human,agent,0.47,20,319
deepseek-r1_prompt2_debate13_1,1,human,agent,0.27,14,157
deepseek-r1_prompt2_debate13_2,1,human,agent,0.48,20,300
deepseek-r1_prompt2_debate13_3,1,human,agent,0.46,20,319
deepseek-r1_prompt2_debate13_4,1,human,agent,0.49,20,339
deepseek-r1_prompt2_debate13_5,1,human,agent,0.49,20,310
deepseek-r1_prompt3_debate13_1,1,human,agent,0.16,14,196
deepseek-r1_prompt3_debate13_2,1,human,agent,0.38,20,311
deepseek-r1_prompt3_debate13_3,1,human,agent,0.36,20,302
deepseek-r1_prompt3_debate13_4,1,human,agent,0.44,20,346
deepseek-r1_prompt3_debate13_5,1,human,agent,0.39,20,319
deepseek-r1_prompt4_debate13_1,1,human,agent,0.22,14,145
deepseek-r1_prompt4_debate13_2,1,human,agent,0.47,20,277
deepseek-r1_prompt4_debate13_3,1,human,agent,0.43,20,347
deepseek-r1_prompt4_debate13_4,1,human,agent,0.48,20,338
deepseek-r1_prompt4_debate13_5,1,human,agent,0.42,20,328
deepseek-r1_prompt0_debate14_1,1,human,agent,0.19,13,310
deepseek-r1_prompt0_debate14_2,1,human,agent,0.39,20,319
deepseek-r1_prompt0_debate14_3,1,human,agent,0.37,20,313
deepseek-r1_prompt0_debate14_4,1,human,agent,0.45,20,321
deepseek-r1_prompt0_debate14_5,1,human,agent,0.43,20,261
deepseek-r1_prompt1_debate14_1,1,human,agent,0.47,13,278
deepseek-r1_prompt1_debate14_2,1,human,agent,0.45,20,288
deepseek-r1_prompt1_debate14_3,1,human,agent,0.47,20,324
deepseek-r1_prompt1_debate14_4,1,human,agent,0.48,20,309
deepseek-r1_prompt1_debate14_5,1,human,agent,0.40,20,319
deepseek-r1_prompt2_debate14_1,1,human,agent,0.27,13,147
deepseek-r1_prompt2_debate14_2,1,human,agent,0.50,20,296
deepseek-r1_prompt2_debate14_3,1,human,agent,0.44,20,342
deepseek-r1_prompt2_debate14_4,1,human,agent,0.49,20,320
deepseek-r1_prompt2_debate14_5,1,human,agent,0.41,20,277
deepseek-r1_prompt3_debate14_1,1,human,agent,0.33,13,292
deepseek-r1_prompt3_debate14_2,1,human,agent,0.41,20,310
deepseek-r1_prompt3_debate14_3,1,human,agent,0.35,20,286
deepseek-r1_prompt3_debate14_4,1,human,agent,0.47,20,286
deepseek-r1_prompt3_debate14_5,1,human,agent,0.43,20,272
deepseek-r1_prompt4_debate14_1,1,human,agent,0.27,13,229
deepseek-r1_prompt4_debate14_2,1,human,agent,0.47,20,278
deepseek-r1_prompt4_debate14_3,1,human,agent,0.46,20,294
deepseek-r1_prompt4_debate14_4,1,human,agent,0.47,20,283
deepseek-r1_prompt4_debate14_5,1,human,agent,0.52,20,317
deepseek-r1_prompt0_debate15_1,1,human,agent,0.23,10,275
deepseek-r1_prompt0_debate15_2,1,human,agent,0.42,20,273
deepseek-r1_prompt0_debate15_3,1,human,agent,0.43,20,307
deepseek-r1_prompt0_debate15_4,1,human,agent,0.39,20,307
deepseek-r1_prompt0_debate15_5,1,human,agent,0.38,20,299
deepseek-r1_prompt1_debate15_1,1,human,agent,0.23,10,269
deepseek-r1_prompt1_debate15_2,1,human,agent,0.41,20,317
deepseek-r1_prompt1_debate15_3,1,human,agent,0.44,20,323
deepseek-r1_prompt1_debate15_4,1,human,agent,0.45,20,325
deepseek-r1_prompt1_debate15_5,1,human,agent,0.50,20,294
deepseek-r1_prompt2_debate15_1,1,human,agent,0.27,10,128
deepseek-r1_prompt2_debate15_2,1,human,agent,0.50,20,310
deepseek-r1_prompt2_debate15_3,1,human,agent,0.53,20,296
deepseek-r1_prompt2_debate15_4,1,human,agent,0.37,20,278
deepseek-r1_prompt2_debate15_5,1,human,agent,0.50,20,295
deepseek-r1_prompt3_debate15_1,1,human,agent,0.25,10,322
deepseek-r1_prompt3_debate15_2,1,human,agent,0.46,20,282
deepseek-r1_prompt3_debate15_3,1,human,agent,0.46,20,310
deepseek-r1_prompt3_debate15_4,1,human,agent,0.47,20,338
deepseek-r1_prompt3_debate15_5,1,human,agent,0.50,20,305
deepseek-r1_prompt4_debate15_1,1,human,agent,0.29,10,141
deepseek-r1_prompt4_debate15_2,1,human,agent,0.45,20,287
deepseek-r1_prompt4_debate15_3,1,human,agent,0.47,20,297
deepseek-r1_prompt4_debate15_4,1,human,agent,0.47,20,279
deepseek-r1_prompt4_debate15_5,1,human,agent,0.52,20,296
deepseek-r1_prompt0_debate16_1,1,human,agent,0.40,12,318
deepseek-r1_prompt0_debate16_2,1,human,agent,0.45,20,297
deepseek-r1_prompt0_debate16_3,1,human,agent,0.42,20,336
deepseek-r1_prompt0_debate16_4,1,human,agent,0.41,20,343
deepseek-r1_prompt0_debate16_5,1,human,agent,0.41,20,329
deepseek-r1_prompt1_debate16_1,1,human,agent,0.41,12,212
deepseek-r1_prompt1_debate16_2,1,human,agent,0.35,20,274
deepseek-r1_prompt1_debate16_3,1,human,agent,0.35,20,301
deepseek-r1_prompt1_debate16_4,1,human,agent,0.42,20,306
deepseek-r1_prompt1_debate16_5,1,human,agent,0.40,20,318
deepseek-r1_prompt2_debate16_1,1,human,agent,0.28,12,169
deepseek-r1_prompt2_debate16_2,1,human,agent,0.38,20,287
deepseek-r1_prompt2_debate16_3,1,human,agent,0.49,20,302
deepseek-r1_prompt2_debate16_4,1,human,agent,0.46,20,346
deepseek-r1_prompt2_debate16_5,1,human,agent,0.43,20,308
deepseek-r1_prompt3_debate16_1,1,human,agent,0.42,12,367
deepseek-r1_prompt3_debate16_2,1,human,agent,0.39,20,270
deepseek-r1_prompt3_debate16_3,1,human,agent,0.38,20,323
deepseek-r1_prompt3_debate16_4,1,human,agent,0.42,20,323
deepseek-r1_prompt3_debate16_5,1,human,agent,0.43,20,327
deepseek-r1_prompt4_debate16_1,1,human,agent,0.30,12,231
deepseek-r1_prompt4_debate16_2,1,human,agent,0.43,20,288
deepseek-r1_prompt4_debate16_3,1,human,agent,0.44,20,313
deepseek-r1_prompt4_debate16_4,1,human,agent,0.44,20,314
deepseek-r1_prompt4_debate16_5,1,human,agent,0.48,20,260
deepseek-r1_prompt0_debate17_1,1,human,agent,0.19,10,299
deepseek-r1_prompt0_debate17_2,1,human,agent,0.43,20,301
deepseek-r1_prompt0_debate17_3,1,human,agent,0.38,20,332
deepseek-r1_prompt0_debate17_4,1,human,agent,0.45,20,321
deepseek-r1_prompt0_debate17_5,1,human,agent,0.40,20,317
deepseek-r1_prompt1_debate17_1,1,human,agent,0.18,10,211
deepseek-r1_prompt1_debate17_2,1,human,agent,0.38,20,267
deepseek-r1_prompt1_debate17_3,1,human,agent,0.42,20,292
deepseek-r1_prompt1_debate17_4,1,human,agent,0.40,20,299
deepseek-r1_prompt1_debate17_5,1,human,agent,0.38,20,310
deepseek-r1_prompt2_debate17_1,1,human,agent,0.21,10,158
deepseek-r1_prompt2_debate17_2,1,human,agent,0.51,20,282
deepseek-r1_prompt2_debate17_3,1,human,agent,0.54,20,262
deepseek-r1_prompt2_debate17_4,1,human,agent,0.50,20,300
deepseek-r1_prompt2_debate17_5,1,human,agent,0.50,20,265
deepseek-r1_prompt3_debate17_1,1,human,agent,0.20,10,320
deepseek-r1_prompt3_debate17_2,1,human,agent,0.40,20,262
deepseek-r1_prompt3_debate17_3,1,human,agent,0.41,20,327
deepseek-r1_prompt3_debate17_4,1,human,agent,0.38,20,296
deepseek-r1_prompt3_debate17_5,1,human,agent,0.39,20,320
deepseek-r1_prompt4_debate17_1,1,human,agent,0.23,10,205
deepseek-r1_prompt4_debate17_2,1,human,agent,0.54,20,280
deepseek-r1_prompt4_debate17_3,1,human,agent,0.54,20,268
deepseek-r1_prompt4_debate17_4,1,human,agent,0.57,20,305
deepseek-r1_prompt4_debate17_5,1,human,agent,0.52,20,263
deepseek-r1_prompt0_debate18_1,1,human,agent,0.42,12,281
deepseek-r1_prompt0_debate18_2,1,human,agent,0.38,20,290
deepseek-r1_prompt0_debate18_3,1,human,agent,0.42,20,318
deepseek-r1_prompt0_debate18_4,1,human,agent,0.39,20,328
deepseek-r1_prompt0_debate18_5,1,human,agent,0.40,20,302
deepseek-r1_prompt1_debate18_1,1,human,agent,0.31,12,281
deepseek-r1_prompt1_debate18_2,1,human,agent,0.45,20,298
deepseek-r1_prompt1_debate18_3,1,human,agent,0.51,20,299
deepseek-r1_prompt1_debate18_4,1,human,agent,0.47,20,272
deepseek-r1_prompt1_debate18_5,1,human,agent,0.40,20,293
deepseek-r1_prompt2_debate18_1,1,human,agent,0.38,12,207
deepseek-r1_prompt2_debate18_2,1,human,agent,0.42,20,299
deepseek-r1_prompt2_debate18_3,1,human,agent,0.46,20,307
deepseek-r1_prompt2_debate18_4,1,human,agent,0.45,20,293
deepseek-r1_prompt2_debate18_5,1,human,agent,0.49,20,294
deepseek-r1_prompt3_debate18_1,1,human,agent,0.42,12,324
deepseek-r1_prompt3_debate18_2,1,human,agent,0.37,20,308
deepseek-r1_prompt3_debate18_3,1,human,agent,0.37,20,315
deepseek-r1_prompt3_debate18_4,1,human,agent,0.39,20,320
deepseek-r1_prompt3_debate18_5,1,human,agent,0.46,20,341
deepseek-r1_prompt4_debate18_1,1,human,agent,0.34,12,134
deepseek-r1_prompt4_debate18_2,1,human,agent,0.41,20,264
deepseek-r1_prompt4_debate18_3,1,human,agent,0.41,20,315
deepseek-r1_prompt4_debate18_4,1,human,agent,0.45,20,340
deepseek-r1_prompt4_debate18_5,1,human,agent,0.42,20,294
deepseek-r1_prompt0_debate19_1,1,human,agent,0.53,16,323
deepseek-r1_prompt0_debate19_2,1,human,agent,0.25,20,272
deepseek-r1_prompt0_debate19_3,1,human,agent,0.34,20,312
deepseek-r1_prompt0_debate19_4,1,human,agent,0.40,20,323
deepseek-r1_prompt0_debate19_5,1,human,agent,0.39,20,301
deepseek-r1_prompt1_debate19_1,1,human,agent,0.50,16,337
deepseek-r1_prompt1_debate19_2,1,human,agent,0.33,20,314
deepseek-r1_prompt1_debate19_3,1,human,agent,0.33,20,289
deepseek-r1_prompt1_debate19_4,1,human,agent,0.37,20,312
deepseek-r1_prompt1_debate19_5,1,human,agent,0.33,20,325
deepseek-r1_prompt2_debate19_1,1,human,agent,0.41,16,357
deepseek-r1_prompt2_debate19_2,1,human,agent,0.42,20,285
deepseek-r1_prompt2_debate19_3,1,human,agent,0.43,20,311
deepseek-r1_prompt2_debate19_4,1,human,agent,0.46,20,297
deepseek-r1_prompt2_debate19_5,1,human,agent,0.51,20,323
deepseek-r1_prompt3_debate19_1,1,human,agent,0.54,16,326
deepseek-r1_prompt3_debate19_2,1,human,agent,0.39,20,302
deepseek-r1_prompt3_debate19_3,1,human,agent,0.32,20,317
deepseek-r1_prompt3_debate19_4,1,human,agent,0.35,20,317
deepseek-r1_prompt3_debate19_5,1,human,agent,0.41,20,283
deepseek-r1_prompt4_debate19_1,1,human,agent,0.43,16,185
deepseek-r1_prompt4_debate19_2,1,human,agent,0.38,20,269
deepseek-r1_prompt4_debate19_3,1,human,agent,0.42,20,300
deepseek-r1_prompt4_debate19_4,1,human,agent,0.42,20,289
deepseek-r1_prompt4_debate19_5,1,human,agent,0.40,20,313
deepseek-r1_prompt0_debate2_1,1,human,agent,0.39,15,323
deepseek-r1_prompt0_debate2_2,1,human,agent,0.32,20,300
deepseek-r1_prompt0_debate2_3,1,human,agent,0.41,20,304
deepseek-r1_prompt0_debate2_4,1,human,agent,0.45,20,275
deepseek-r1_prompt0_debate2_5,1,human,agent,0.40,20,299
deepseek-r1_prompt1_debate2_1,1,human,agent,0.47,15,221
deepseek-r1_prompt1_debate2_2,1,human,agent,0.39,20,288
deepseek-r1_prompt1_debate2_3,1,human,agent,0.52,20,334
deepseek-r1_prompt1_debate2_4,1,human,agent,0.50,20,323
deepseek-r1_prompt1_debate2_5,1,human,agent,0.46,20,328
deepseek-r1_prompt2_debate2_1,1,human,agent,0.49,15,178
deepseek-r1_prompt2_debate2_2,1,human,agent,0.53,20,277
deepseek-r1_prompt2_debate2_3,1,human,agent,0.50,20,313
deepseek-r1_prompt2_debate2_4,1,human,agent,0.47,20,322
deepseek-r1_prompt2_debate2_5,1,human,agent,0.52,20,333
deepseek-r1_prompt3_debate2_1,1,human,agent,0.30,15,253
deepseek-r1_prompt3_debate2_2,1,human,agent,0.40,20,305
deepseek-r1_prompt3_debate2_3,1,human,agent,0.46,20,326
deepseek-r1_prompt3_debate2_4,1,human,agent,0.42,20,314
deepseek-r1_prompt3_debate2_5,1,human,agent,0.38,20,322
deepseek-r1_prompt4_debate2_1,1,human,agent,0.40,15,240
deepseek-r1_prompt4_debate2_2,1,human,agent,0.52,20,334
deepseek-r1_prompt4_debate2_3,1,human,agent,0.42,20,347
deepseek-r1_prompt4_debate2_4,1,human,agent,0.50,20,345
deepseek-r1_prompt4_debate2_5,1,human,agent,0.44,20,321
deepseek-r1_prompt0_debate20_1,1,human,agent,0.40,13,340
deepseek-r1_prompt0_debate20_2,1,human,agent,0.37,20,289
deepseek-r1_prompt0_debate20_3,1,human,agent,0.31,20,295
deepseek-r1_prompt0_debate20_4,1,human,agent,0.34,20,306
deepseek-r1_prompt0_debate20_5,1,human,agent,0.43,20,287
deepseek-r1_prompt1_debate20_1,1,human,agent,0.30,13,329
deepseek-r1_prompt1_debate20_2,1,human,agent,0.37,20,328
deepseek-r1_prompt1_debate20_3,1,human,agent,0.38,20,308
deepseek-r1_prompt1_debate20_4,1,human,agent,0.34,20,335
deepseek-r1_prompt1_debate20_5,1,human,agent,0.41,20,324
deepseek-r1_prompt2_debate20_1,1,human,agent,0.44,13,114
deepseek-r1_prompt2_debate20_2,1,human,agent,0.45,20,279
deepseek-r1_prompt2_debate20_3,1,human,agent,0.50,20,325
deepseek-r1_prompt2_debate20_4,1,human,agent,0.46,20,355
deepseek-r1_prompt2_debate20_5,1,human,agent,0.48,20,332
deepseek-r1_prompt3_debate20_1,1,human,agent,0.39,13,327
deepseek-r1_prompt3_debate20_2,1,human,agent,0.39,20,287
deepseek-r1_prompt3_debate20_3,1,human,agent,0.39,20,341
deepseek-r1_prompt3_debate20_4,1,human,agent,0.40,20,327
deepseek-r1_prompt3_debate20_5,1,human,agent,0.40,20,313
deepseek-r1_prompt4_debate20_1,1,human,agent,0.35,13,278
deepseek-r1_prompt4_debate20_2,1,human,agent,0.46,20,288
deepseek-r1_prompt4_debate20_3,1,human,agent,0.35,20,293
deepseek-r1_prompt4_debate20_4,1,human,agent,0.39,20,294
deepseek-r1_prompt4_debate20_5,1,human,agent,0.62,20,273
deepseek-r1_prompt0_debate21_1,1,human,agent,0.47,14,290
deepseek-r1_prompt0_debate21_2,1,human,agent,0.43,20,288
deepseek-r1_prompt0_debate21_3,1,human,agent,0.43,20,345
deepseek-r1_prompt0_debate21_4,1,human,agent,0.45,20,314
deepseek-r1_prompt0_debate21_5,1,human,agent,0.48,20,337
deepseek-r1_prompt1_debate21_1,1,human,agent,0.50,14,349
deepseek-r1_prompt1_debate21_2,1,human,agent,0.38,20,307
deepseek-r1_prompt1_debate21_3,1,human,agent,0.43,20,311
deepseek-r1_prompt1_debate21_4,1,human,agent,0.43,20,343
deepseek-r1_prompt1_debate21_5,1,human,agent,0.39,20,326
deepseek-r1_prompt2_debate21_1,1,human,agent,0.38,14,224
deepseek-r1_prompt2_debate21_2,1,human,agent,0.51,20,300
deepseek-r1_prompt2_debate21_3,1,human,agent,0.49,20,317
deepseek-r1_prompt2_debate21_4,1,human,agent,0.41,20,283
deepseek-r1_prompt2_debate21_5,1,human,agent,0.52,20,329
deepseek-r1_prompt3_debate21_1,1,human,agent,0.48,14,298
deepseek-r1_prompt3_debate21_2,1,human,agent,0.50,20,293
deepseek-r1_prompt3_debate21_3,1,human,agent,0.39,20,331
deepseek-r1_prompt3_debate21_4,1,human,agent,0.42,20,323
deepseek-r1_prompt3_debate21_5,1,human,agent,0.42,20,319
deepseek-r1_prompt4_debate21_1,1,human,agent,0.40,14,139
deepseek-r1_prompt4_debate21_2,1,human,agent,0.43,20,310
deepseek-r1_prompt4_debate21_3,1,human,agent,0.45,20,316
deepseek-r1_prompt4_debate21_4,1,human,agent,0.44,20,327
deepseek-r1_prompt4_debate21_5,1,human,agent,0.47,20,352
deepseek-r1_prompt0_debate22_1,1,human,agent,0.40,16,301
deepseek-r1_prompt0_debate22_2,1,human,agent,0.49,20,279
deepseek-r1_prompt0_debate22_3,1,human,agent,0.45,20,315
deepseek-r1_prompt0_debate22_4,1,human,agent,0.43,20,299
deepseek-r1_prompt0_debate22_5,1,human,agent,0.39,20,280
deepseek-r1_prompt1_debate22_1,1,human,agent,0.42,16,312
deepseek-r1_prompt1_debate22_2,1,human,agent,0.29,20,327
deepseek-r1_prompt1_debate22_3,1,human,agent,0.40,20,311
deepseek-r1_prompt1_debate22_4,1,human,agent,0.51,20,326
deepseek-r1_prompt1_debate22_5,1,human,agent,0.46,20,306
deepseek-r1_prompt2_debate22_1,1,human,agent,0.30,16,184
deepseek-r1_prompt2_debate22_2,1,human,agent,0.46,20,346
deepseek-r1_prompt2_debate22_3,1,human,agent,0.51,20,320
deepseek-r1_prompt2_debate22_4,1,human,agent,0.47,20,314
deepseek-r1_prompt2_debate22_5,1,human,agent,0.47,20,315
deepseek-r1_prompt3_debate22_1,1,human,agent,0.40,16,259
deepseek-r1_prompt3_debate22_2,1,human,agent,0.41,20,302
deepseek-r1_prompt3_debate22_3,1,human,agent,0.36,20,312
deepseek-r1_prompt3_debate22_4,1,human,agent,0.45,20,325
deepseek-r1_prompt3_debate22_5,1,human,agent,0.37,20,298
deepseek-r1_prompt4_debate22_1,1,human,agent,0.32,16,188
deepseek-r1_prompt4_debate22_2,1,human,agent,0.31,20,333
deepseek-r1_prompt4_debate22_3,1,human,agent,0.43,20,282
deepseek-r1_prompt4_debate22_4,1,human,agent,0.42,20,290
deepseek-r1_prompt4_debate22_5,1,human,agent,0.44,20,256
deepseek-r1_prompt0_debate23_1,1,human,agent,0.26,19,339
deepseek-r1_prompt0_debate23_2,1,human,agent,0.39,20,334
deepseek-r1_prompt0_debate23_3,1,human,agent,0.44,20,298
deepseek-r1_prompt0_debate23_4,1,human,agent,0.47,20,309
deepseek-r1_prompt0_debate23_5,1,human,agent,0.49,20,330
deepseek-r1_prompt1_debate23_1,1,human,agent,0.25,19,318
deepseek-r1_prompt1_debate23_2,1,human,agent,0.42,20,306
deepseek-r1_prompt1_debate23_3,1,human,agent,0.52,20,336
deepseek-r1_prompt1_debate23_4,1,human,agent,0.45,20,340
